      Date;    Time;                         Program; Workpiece no.;     Testpoint;Plane;     Probe no.;         Cycle;        S_MVAR;               Measuring variant;Results:    ;      Setpoint;      Measured;    Difference;Unit
2019-11-25;10:28:27;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;X           ;        15,000;        15,002;         0,002;mm
2019-11-25;10:28:27;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;Y           ;        15,000;        15,008;         0,008;mm
2019-11-25;10:28:27;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;Diameter    ;        12,009;        12,019;        0,0100;mm
2019-11-25;10:28:32;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;X           ;        30,000;        29,990;       -0,0100;mm
2019-11-25;10:28:32;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;Y           ;        15,000;        15,001;         0,000;mm
2019-11-25;10:28:32;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;Diameter    ;        12,009;        12,019;        0,0100;mm
2019-11-25;10:28:36;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;X           ;        45,000;        45,002;         0,002;mm
2019-11-25;10:28:36;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;Y           ;        15,000;        15,009;         0,009;mm
2019-11-25;10:28:36;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;Diameter    ;        12,009;        12,019;        0,0100;mm
2019-11-25;10:28:41;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;X           ;        60,000;        59,997;        -0,003;mm
2019-11-25;10:28:41;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;Y           ;        15,000;        15,008;         0,008;mm
2019-11-25;10:28:41;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;Diameter    ;        12,009;        12,024;         0,015;mm
2019-11-25;10:28:46;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;X           ;        75,000;        74,977;        -0,023;mm
2019-11-25;10:28:46;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;Y           ;        15,000;        15,003;         0,003;mm
2019-11-25;10:28:46;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;Diameter    ;        12,009;        12,018;         0,009;mm
2019-11-25;10:28:51;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;X           ;        90,000;        90,006;         0,006;mm
2019-11-25;10:28:51;                      REIBEN.MPF;              ;             1;  G17;             1;           977;             1;                          1 Hole;Y           ;        15,000;        14,988;        -0,012;mm
