      Date;    Time;                         Program; Workpiece no.;     Testpoint;Plane;     Probe no.;         Cycle;        S_MVAR;               Measuring variant;Results:    ;      Setpoint;      Measured;    Difference;Unit
27.11.2019;12:39:22;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;15;0;mm
27.11.2019;12:39:22;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,002;0,002;mm
27.11.2019;12:39:22;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,026;0,017;mm
27.11.2019;12:39:27;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,99;-0,01;mm
27.11.2019;12:39:27;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,005;0,005;mm
27.11.2019;12:39:27;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
27.11.2019;12:39:32;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;45,014;0,014;mm
27.11.2019;12:39:32;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,998;-0,002;mm
27.11.2019;12:39:32;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,022;0,013;mm
27.11.2019;12:39:37;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,996;-0,004;mm
27.11.2019;12:39:37;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,004;0,004;mm
27.11.2019;12:39:37;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,022;0,013;mm
27.11.2019;12:39:42;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;75,005;0,005;mm
27.11.2019;12:39:42;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,002;0,002;mm
27.11.2019;12:39:42;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,023;0,014;mm
27.11.2019;12:39:47;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;90,016;0,016;mm
27.11.2019;12:39:47;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,995;-0,005;mm
27.11.2019;12:39:47;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,023;0,014;mm
27.11.2019;12:39:51;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;105,007;0,007;mm
27.11.2019;12:39:51;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,004;0,004;mm
27.11.2019;12:39:51;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,022;0,013;mm
27.11.2019;12:39:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;120,015;0,015;mm
27.11.2019;12:39:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,987;-0,013;mm
27.11.2019;12:39:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,023;0,014;mm
27.11.2019;12:40:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,995;-0,005;mm
27.11.2019;12:40:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,993;-0,007;mm
27.11.2019;12:40:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
27.11.2019;12:40:09;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;15,002;0,002;mm
27.11.2019;12:40:09;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,004;0,004;mm
27.11.2019;12:40:09;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
27.11.2019;12:40:14;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;30,015;0,015;mm
27.11.2019;12:40:14;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,007;0,007;mm
27.11.2019;12:40:14;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,027;0,018;mm
27.11.2019;12:40:19;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;45;0;mm
27.11.2019;12:40:19;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,009;0,009;mm
27.11.2019;12:40:19;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
27.11.2019;12:40:24;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,985;-0,015;mm
27.11.2019;12:40:24;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,01;0,01;mm
27.11.2019;12:40:24;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,024;0,015;mm
27.11.2019;12:40:29;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,999;-0,001;mm
27.11.2019;12:40:29;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,005;0,005;mm
27.11.2019;12:40:29;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
27.11.2019;12:40:34;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;90,015;0,015;mm
27.11.2019;12:40:34;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,001;0;mm
27.11.2019;12:40:34;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,022;0,013;mm
27.11.2019;12:40:39;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;105,01;0,01;mm
27.11.2019;12:40:39;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,003;0,003;mm
27.11.2019;12:40:39;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
27.11.2019;12:40:43;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;120,01;0,01;mm
27.11.2019;12:40:43;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,002;0,002;mm
27.11.2019;12:40:43;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
27.11.2019;12:40:48;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;135,009;0,009;mm
27.11.2019;12:40:48;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30;0;mm
27.11.2019;12:40:48;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,022;0,013;mm
27.11.2019;12:40:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;15,006;0,006;mm
27.11.2019;12:40:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,003;0,003;mm
27.11.2019;12:40:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,017;0,008;mm
27.11.2019;12:41:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;30,006;0,006;mm
27.11.2019;12:41:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,001;0,001;mm
27.11.2019;12:41:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
27.11.2019;12:41:06;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,996;-0,004;mm
27.11.2019;12:41:06;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,001;0;mm
27.11.2019;12:41:06;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
27.11.2019;12:41:11;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;60,013;0,013;mm
27.11.2019;12:41:11;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;44,996;-0,004;mm
27.11.2019;12:41:11;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
27.11.2019;12:41:16;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,998;-0,002;mm
27.11.2019;12:41:16;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,013;0,013;mm
27.11.2019;12:41:16;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
27.11.2019;12:41:21;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,991;-0,009;mm
27.11.2019;12:41:21;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,003;0,003;mm
27.11.2019;12:41:21;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
27.11.2019;12:41:26;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,998;-0,002;mm
27.11.2019;12:41:26;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,008;0,008;mm
