      Date;    Time;                         Program; Workpiece no.;     Testpoint;Plane;     Probe no.;         Cycle;        S_MVAR;               Measuring variant;Results:    ;      Setpoint;      Measured;    Difference;Unit
20.11.2019;12:14:13;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,976;-0,024;mm
20.11.2019;12:14:13;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,016;0,016;mm
20.11.2019;12:14:13;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:14:18;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,994;-0,006;mm
20.11.2019;12:14:18;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,986;-0,014;mm
20.11.2019;12:14:18;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,018;0,009;mm
20.11.2019;12:14:23;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,979;-0,021;mm
20.11.2019;12:14:23;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,997;-0,003;mm
20.11.2019;12:14:23;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,015;0,006;mm
20.11.2019;12:14:28;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,997;-0,003;mm
20.11.2019;12:14:28;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,003;0,003;mm
20.11.2019;12:14:28;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,015;0,006;mm
20.11.2019;12:14:33;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,969;-0,031;mm
20.11.2019;12:14:33;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,004;0,004;mm
20.11.2019;12:14:33;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,015;0,006;mm
20.11.2019;12:14:38;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;90,001;0;mm
20.11.2019;12:14:38;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,009;0,009;mm
20.11.2019;12:14:38;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,016;0,007;mm
20.11.2019;12:14:43;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,995;-0,005;mm
20.11.2019;12:14:43;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,006;0,006;mm
20.11.2019;12:14:43;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,016;0,007;mm
20.11.2019;12:14:48;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;120,009;0,009;mm
20.11.2019;12:14:48;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,988;-0,012;mm
20.11.2019;12:14:48;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,017;0,008;mm
20.11.2019;12:14:53;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,998;-0,002;mm
20.11.2019;12:14:53;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,995;-0,005;mm
20.11.2019;12:14:53;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,016;0,007;mm
20.11.2019;12:15:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,978;-0,022;mm
20.11.2019;12:15:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,01;0,01;mm
20.11.2019;12:15:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:15:06;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,991;-0,009;mm
20.11.2019;12:15:06;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,004;0,004;mm
20.11.2019;12:15:06;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:15:10;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,985;-0,015;mm
20.11.2019;12:15:10;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;29,987;-0,013;mm
20.11.2019;12:15:10;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:15:15;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,984;-0,016;mm
20.11.2019;12:15:15;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,012;0,012;mm
20.11.2019;12:15:15;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,018;0,009;mm
20.11.2019;12:15:20;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,984;-0,016;mm
20.11.2019;12:15:20;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,006;0,006;mm
20.11.2019;12:15:20;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:15:25;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,998;-0,002;mm
20.11.2019;12:15:25;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,009;0,009;mm
20.11.2019;12:15:25;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
20.11.2019;12:15:30;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,994;-0,006;mm
20.11.2019;12:15:30;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30;0;mm
20.11.2019;12:15:30;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,017;0,008;mm
20.11.2019;12:15:35;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,992;-0,008;mm
20.11.2019;12:15:35;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,011;0,011;mm
20.11.2019;12:15:35;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,017;0,008;mm
20.11.2019;12:15:40;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;135,012;0,012;mm
20.11.2019;12:15:40;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;29,994;-0,006;mm
20.11.2019;12:15:40;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
20.11.2019;12:15:48;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,998;-0,002;mm
20.11.2019;12:15:48;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,001;0,001;mm
20.11.2019;12:15:48;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
20.11.2019;12:15:53;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;30,002;0,002;mm
20.11.2019;12:15:53;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;44,993;-0,007;mm
20.11.2019;12:15:53;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
20.11.2019;12:15:58;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,99;-0,01;mm
20.11.2019;12:15:58;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,008;0,008;mm
20.11.2019;12:15:58;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,016;0,007;mm
20.11.2019;12:16:02;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;60,007;0,007;mm
20.11.2019;12:16:02;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,013;0,013;mm
20.11.2019;12:16:02;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,017;0,008;mm
20.11.2019;12:16:07;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,984;-0,016;mm
20.11.2019;12:16:07;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,014;0,014;mm
20.11.2019;12:16:07;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
20.11.2019;12:16:12;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,996;-0,004;mm
20.11.2019;12:16:12;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;44,998;-0,002;mm
20.11.2019;12:16:12;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,017;0,008;mm
20.11.2019;12:16:17;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;105,002;0,002;mm
