;      Date;    Time;                         Program; Workpiece no.;     Testpoint;Plane;     Probe no.;         Cycle;        S_MVAR;               Measuring variant;Results:    ;      Setpoint;      Measured;    Difference;Unit
1;14.11.2019;15:53:15;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,999;-0,001;mm
;14.11.2019;15:53:15;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,996;-0,004;mm
;14.11.2019;15:53:15;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
2;14.11.2019;15:53:20;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,999;-0,001;mm
;14.11.2019;15:53:20;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,998;-0,002;mm
;14.11.2019;15:53:20;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,018;0,004;mm
3;14.11.2019;15:53:25;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;45;0;mm
;14.11.2019;15:53:25;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,001;0;mm
;14.11.2019;15:53:25;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
4;14.11.2019;15:53:29;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;60,001;0;mm
;14.11.2019;15:53:29;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15;0;mm
;14.11.2019;15:53:29;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,016;0,002;mm
5;14.11.2019;15:53:34;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;75,001;0;mm
;14.11.2019;15:53:34;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,998;-0,002;mm
;14.11.2019;15:53:34;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,015;0;mm
6;14.11.2019;15:53:39;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,994;-0,006;mm
;14.11.2019;15:53:39;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,994;-0,006;mm
;14.11.2019;15:53:39;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,013;-0,001;mm
7;14.11.2019;15:53:43;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,996;-0,004;mm
;14.11.2019;15:53:43;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15;0;mm
;14.11.2019;15:53:43;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,02;0,006;mm
8;14.11.2019;15:53:48;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,996;-0,004;mm
;14.11.2019;15:53:48;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,999;0;mm
;14.11.2019;15:53:48;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
