Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.C1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
0,6.666666666666668,2.5,11.717981481481486,10.776000000000069,181.82463768115943,0.5333333333333333,317.25,0.5,0.0,27.65,0.3666666666666667,1.6666666666666667,1.5,1.0,1165.2380952380952,-321.4976119402985,15.565217391304348,2019-11-27 11:00:12.091,,,,,,,,,,i.O.,n.i.O.,i.O.,10,1
1,6.5,,5.578181818181819,-102.57939999999996,187.02271428571427,0.5,317.5,1.6,1.0,27.649999999999995,0.8642857142857142,,21.0,0.5,183.15384615384616,-318.89913043478265,15.333333333333336,2019-11-27 11:00:25.910,410.7625,73.7,1763.5,366.24,,,,,,i.O.,n.i.O.,i.O.,10,2
2,6.5,,5.899980769230769,44.62878571428575,175.2888732394366,0.5,317.23529411764713,1.6,1.0,,0.6375,0.0,1.5,0.75,40.4,-317.5067142857143,13.846153846153848,2019-11-27 11:00:39.910,,,4146.333333333333,379.45333333333326,0.05,,,,,i.O.,n.i.O.,i.O.,10,3
3,6.833333333333332,,5.788660377358491,333.9739333333333,178.33171428571427,0.5135135135135135,317.38461538461536,1.8,0.5,27.610000000000007,0.05000000000000001,,5.0,0.8,-91.63157894736842,-318.7319117647058,16.52,2019-11-27 11:00:54.113,-43.76066666666668,73.69,0.0,396.68,0.061904761904761914,,,,,i.O.,n.i.O.,i.O.,10,4
4,7.0,2.5,8.321207547169813,248.73399999999995,178.61142857142858,0.4878048780487805,317.5,2.0,0.5,27.615,0.05000000000000001,0.5,5.0,1.0,215.54545454545453,-318.8856521739131,15.814814814814815,2019-11-27 11:01:08.194,211.5843333333333,,140.5,411.67,0.05,25.73,,,,i.O.,i.O.,i.O.,10,5
5,7.5,2.5,7.989520833333334,-126.35924999999996,184.0342857142857,0.5405405405405406,317.3333333333333,1.75,0.75,27.58363636363636,,0.5,2.1111111111111107,0.8,160.91666666666666,-318.913043478261,13.875,2019-11-27 11:01:22.111,119.7775,,3584.5,425.145,0.07894736842105264,25.712,,,,i.O.,n.i.O.,i.O.,10,6
6,7.5,,5.5926875,182.49107692307686,186.86084507042256,0.5128205128205128,317.5,2.0,1.0,,0.05,,3.75,1.0,-105.0,-318.911884057971,14.416666666666664,2019-11-27 11:01:36.119,-20.3015,73.68,2884.333333333333,438.0466666666666,0.11739130434782613,25.715,,,,i.O.,n.i.O.,i.O.,10,7
7,7.3,,7.273258620689656,460.0533333333333,175.34285714285718,0.4883720930232558,317.15789473684214,1.75,1.0,27.552857142857142,,0.5,3.333333333333333,1.0,-16.88888888888889,-318.885652173913,17.263157894736842,2019-11-27 11:01:50.393,-148.876,,0.0,456.68,0.10909090909090913,25.717142857142854,,,,i.O.,n.i.O.,i.O.,10,8
8,7.2,2.5,7.13486046511628,101.9013636363637,180.76814285714292,0.5,317.3181818181818,2.0,1.0,27.516,,0.5,4.111111111111111,1.0,204.83333333333331,-318.89724637681167,15.0,2019-11-27 11:02:04.335,414.14599999999996,,1185.0,471.435,0.14166666666666675,25.714000000000002,,,,i.O.,n.i.O.,i.O.,10,9
9,6.8,,3.5509259259259256,-44.0957857142857,183.08416666666668,0.5,317.5,2.0,1.0,27.52,,0.5,1.1764705882352942,2.625,43.111111111111114,-317.50185714285715,13.64,2019-11-27 11:02:18.309,-52.10675000000001,73.67,-7817.75,380.9375,0.14166666666666675,25.71578947368421,47.266999999999996,1502.0,-399.75666666666666,i.O.,n.i.O.,i.O.,10,10
