,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
0,0,3.5,27.890590909090903,-120.454,146.22240000000005,171.81272727272727,0.5714285714285714,635.5,1.3333333333333333,0.5,0.4166666666666667,4.8,0.5836363636363636,7169.0,352.47,4.0,0.5,6020.2,-292.90526315789475,15.777777777777779,2019-12-09 08:19:42.110,,,,,,,,,i.O.,n.i.O.,i.O.,15,1
1,1,3.6,-0.8715909090909079,0.0,-304.27457142857133,171.3588,0.4444444444444444,635.5,0.5,0.8,0.92,6.6,0.4891666666666666,0.0,365.33,0.4,0.8571428571428571,307.14285714285717,-290.3225,16.076923076923073,2019-12-09 08:19:46.376,74.36,,,,,,,,i.O.,n.i.O.,i.O.,15,2
2,2,3.4,9.5875,299.1055,-222.17775,184.34807692307697,0.5333333333333333,635.5,1.3333333333333333,1.0,1.18,,0.3527272727272727,4477.0,372.94,4.4,0.75,153.9090909090909,-291.16291666666666,15.333333333333336,2019-12-09 08:19:51.478,,,,,,,,,i.O.,n.i.O.,i.O.,15,3
3,3,3.6666666666666665,-1.4748461538461517,247.22433333333333,105.00420000000004,175.61038461538465,0.4761904761904762,635.5,1.0,1.0,1.45,,0.4692307692307692,3154.666666666666,395.33,16.0,0.7142857142857143,-141.71428571428572,-290.07708333333346,13.714285714285715,2019-12-09 08:19:56.700,,22.95,,,,,,,i.O.,n.i.O.,i.O.,15,4
4,4,,-5.592666666666666,0.0,521.8083333333334,183.9484615384616,0.5,635.5,1.0,0.5,1.6,7.0,0.36461538461538456,14.5,410.16,1.5,0.8,-172.0,-286.75160000000005,16.411764705882348,2019-12-09 08:20:02.016,,22.950000000000006,,,,,,,i.O.,n.i.O.,i.O.,15,5
5,5,,2.2125000000000004,-5.4135,605.3036363636364,189.23538461538465,0.5555555555555556,635.5,1.0,0.5,1.7571428571428571,2.5,0.3191666666666667,0.0,424.03,1.6666666666666667,0.7142857142857143,-90.75,-289.485,21.923076923076927,2019-12-09 08:20:07.287,,22.954,28.26,,,,,,i.O.,n.i.O.,i.O.,15,6
6,6,,-2.2124615384615423,-200.9825,402.44300000000004,166.8296153846154,0.5,635.5,1.2,0.5,0.03333333333333333,0.42857142857142855,0.3885714285714285,721.5,439.5466666666666,5.333333333333333,0.625,130.66666666666666,-289.52083333333337,21.538461538461537,2019-12-09 08:20:12.403,,22.95,28.27,0.05,,,,,i.O.,n.i.O.,i.O.,15,7
7,7,3.333333333333333,-11.362814814814815,45.56533333333332,-79.57675000000003,173.80666666666664,0.4761904761904762,635.5,1.2,0.0,0.05000000000000001,0.5714285714285714,0.3861538461538461,5000.0,456.035,7.666666666666668,0.75,302.875,-286.8356000000001,18.166666666666668,2019-12-09 08:20:17.717,,,28.26,0.0818181818181818,,,,,i.O.,n.i.O.,i.O.,15,8
8,8,4.0,-0.7989166666666668,564.3755,-228.38754545454543,194.11500000000004,0.5454545454545454,635.5,1.2857142857142858,1.0,0.05,0.5,0.5,-5198.5,470.265,17.333333333333332,0.8571428571428571,238.125,-286.9756,15.083333333333336,2019-12-09 08:20:23.046,,,28.22,0.06999999999999999,2.055,130.0,-412.67,,i.O.,n.i.O.,i.O.,15,9
9,9,3.5,-2.130444444444442,-1159.8796666666667,6.217000000000023,167.24481481481484,0.48,635.3333333333334,1.0,1.0,0.05,0.8333333333333334,0.4350000000000001,-7397.333333333332,373.45,12.0,1.1666666666666667,96.14285714285714,-289.9304166666668,14.733333333333333,2019-12-09 08:20:28.261,74.35,,28.25,0.09230769230769234,29.799,2180.5,-400.57,,i.O.,n.i.O.,i.O.,15,10
10,10,3.5,0.00011538461538079375,0.0,328.5934545454545,179.86576923076925,0.5,635.5,0.8,0.5,0.05,0.5,0.4392307692307692,129.5,365.33,0.5,0.5,-152.57142857142858,-287.3504000000001,13.625,2019-12-09 08:20:33.602,,,28.23,0.05000000000000001,,,,,i.O.,n.i.O.,i.O.,15,11
11,11,,-4.60192,,661.7309,185.1534615384616,0.5384615384615384,635.5,1.3333333333333333,0.5,0.05,0.4444444444444444,0.4253846153846154,0.0,384.3033333333333,1.0,0.42857142857142855,-14.666666666666664,-286.2352,17.0625,2019-12-09 08:20:38.825,,,,0.05555555555555555,,,,,i.O.,n.i.O.,i.O.,15,12
12,12,3.0,-3.834919999999998,-212.0353333333333,488.4818181818181,181.87148148148148,0.48,635.5,1.0,0.5,0.10000000000000002,0.5555555555555556,0.3353846153846154,1880.666666666667,399.37,6.0,0.8333333333333334,54.4,-287.06360000000006,20.8,2019-12-09 08:20:44.139,,,,0.06666666666666668,,,,,i.O.,n.i.O.,i.O.,15,13
13,13,4.0,5.3690000000000015,0.0,117.1272,190.79040000000003,0.5238095238095238,635.5263157894736,1.0,0.0,0.05,0.5,0.4641666666666666,0.0,410.33,0.3333333333333333,0.6666666666666666,285.5555555555556,-290.5995833333333,21.83333333333333,2019-12-09 08:20:49.396,,,,0.05000000000000001,,,,,i.O.,n.i.O.,i.O.,15,14
14,14,3.333333333333333,-1.420333333333328,356.8513333333333,-274.7264,170.91111111111113,0.4444444444444444,635.48,1.0,1.0,0.05,0.5,0.303076923076923,5675.333333333332,421.7166666666667,8.4,0.75,257.3333333333333,-290.30916666666667,17.285714285714285,2019-12-09 08:20:54.460,,,,0.07142857142857142,,,,,i.O.,n.i.O.,i.O.,15,15
15,15,4.0,-7.1905833333333335,118.42399999999999,-127.19849999999997,167.6303846153846,0.5217391304347826,635.5714285714286,1.0,1.0,0.05,0.4615384615384616,0.2630769230769231,2418.5,440.34,10.666666666666666,0.7142857142857143,341.8181818181818,-287.50600000000014,14.142857142857142,2019-12-09 08:20:59.787,,,28.19333333333333,0.08333333333333333,,,,,i.O.,n.i.O.,i.O.,15,16
16,16,,-1.5978750000000008,0.0,227.1669,186.7642307692308,0.4761904761904762,635.4285714285714,1.0,1.0,0.05,0.6,0.3346153846153846,360.0,455.33,1.0,0.5,133.88888888888889,-286.4616,14.615384615384615,2019-12-09 08:21:05.053,74.34,,,0.042857142857142864,,,,,i.O.,n.i.O.,i.O.,15,17
17,17,,1.4750769230769216,,532.2941000000002,186.46599999999998,0.5,635.5,1.0,0.3333333333333333,0.1,0.5,0.3858333333333334,0.0,470.29,0.5,0.75,-211.42857142857144,-291.5524,16.53846153846154,2019-12-09 08:21:10.310,,,,0.08333333333333333,,,,,i.O.,n.i.O.,i.O.,15,18
18,18,3.5,-9.942481481481481,1233.8666666666666,753.4927777777779,159.75678571428577,0.52,635.0,1.0,0.6666666666666666,0.03333333333333333,0.5,0.25142857142857145,-11969.0,380.8666666666666,7.0,2.571428571428572,-125.375,-290.50000000000006,19.625,2019-12-09 08:21:15.401,,,28.16,0.075,64.393,1500.333333333333,-386.5,,i.O.,n.i.O.,i.O.,15,19
19,19,3.5,-1.5339199999999993,-246.322,232.796,191.64653846153846,0.4736842105263158,635.5,1.0,0.0,0.05,0.5,0.4084615384615384,1763.5,365.31666666666666,3.25,0.7142857142857143,224.15384615384616,-286.4136000000001,22.58333333333333,2019-12-09 08:21:20.862,,22.99,28.165,0.1,,,,,i.O.,n.i.O.,i.O.,15,20
20,20,3.333333333333333,1.4750384615384633,267.0746666666667,-242.8748888888889,186.83074074074082,0.5384615384615384,635.5,1.0,1.0,,0.5,0.4169230769230769,5601.666666666668,381.035,4.285714285714286,0.7142857142857143,303.25,-286.6428,18.666666666666668,2019-12-09 08:21:26.158,,22.985,,0.1,,,,,i.O.,n.i.O.,i.O.,15,21
21,21,4.0,-6.9028800000000015,0.0,-171.77389999999997,170.1472,0.4782608695652174,635.5,0.3333333333333333,1.0,,0.4,0.5046153846153847,0.0,395.33,0.5,1.0,289.42857142857144,-290.12875,15.272727272727273,2019-12-09 08:21:31.440,,22.982,,0.10000000000000002,,,,,i.O.,n.i.O.,i.O.,15,22
22,22,,-2.5010434782608693,154.29,81.92015384615391,189.20185185185184,0.5,635.5,1.4,1.0,,0.6,0.37615384615384617,2503.333333333333,402.87,17.333333333333332,0.5714285714285714,283.53846153846155,-290.88583333333344,15.230769230769232,2019-12-09 08:21:36.514,,22.988000000000003,,0.09,,,,,i.O.,n.i.O.,i.O.,15,23
23,23,,1.475038461538466,0.0,520.3576666666668,174.1257692307692,0.5,635.52,1.0,0.5,,0.5,0.385,0.0,425.32,0.8,0.75,-108.71428571428572,-286.50160000000005,15.230769230769232,2019-12-09 08:21:41.793,,22.982857142857146,28.12,0.13333333333333333,,,,,i.O.,n.i.O.,i.O.,15,24
24,24,,-7.101814814814817,-20.3015,650.9133999999998,167.91653846153847,0.5,635.5,1.0,0.8571428571428571,0.1,0.5,0.29357142857142865,23.0,443.6833333333333,4.666666666666667,0.7142857142857143,-134.33333333333334,-286.208,19.266666666666666,2019-12-09 08:21:47.087,74.33,22.987142857142853,28.09,0.075,,,,,i.O.,n.i.O.,i.O.,15,25
25,25,3.0,-2.5009565217391296,-232.78799999999998,399.33455555555565,179.1125925925926,0.5217391304347826,635.0,1.0,0.8333333333333334,0.03333333333333333,0.42857142857142855,0.4,2855.0,458.475,13.0,1.0,42.77777777777778,-287.694,22.33333333333333,2019-12-09 08:21:52.378,,22.985,28.108,0.12000000000000002,,,,,i.O.,n.i.O.,i.O.,15,26
26,26,4.0,0.7670399999999999,1812.904,-88.3369090909091,180.45153846153846,0.4736842105263158,635.5,1.0,0.8,,0.5714285714285714,0.3192307692307693,-9554.5,469.25,13.0,1.7142857142857142,269.75,-287.6016,19.83333333333333,2019-12-09 08:21:57.613,,,28.09,0.08333333333333333,28.771,810.0,-382.41,,i.O.,n.i.O.,i.O.,15,27
27,27,3.4,-8.522148148148148,-1235.671,-243.98645454545448,172.55703703703702,0.5555555555555556,635.5,1.4285714285714286,0.0,,0.5,0.3723076923076923,-3146.0,359.2933333333333,20.0,0.75,270.125,-289.49958333333336,16.7,2019-12-09 08:22:02.854,,,,0.08333333333333333,-5.1375,1847.0,-369.35,,i.O.,n.i.O.,i.O.,15,28
28,28,4.0,-3.4862727272727265,37.219,1.305600000000004,180.04576923076922,0.5,635.4285714285714,1.0,1.0,0.05,0.4,0.4769230769230769,1440.0,365.33,2.888888888888889,0.7142857142857143,244.88888888888889,-286.8348000000001,14.916666666666664,2019-12-09 08:22:08.201,,,,0.08333333333333333,,,,,i.O.,n.i.O.,i.O.,15,29
29,29,,1.009263157894737,0.0,298.25766666666664,199.17884615384617,0.4736842105263158,635.4,1.0,0.6,,0.5,0.46,57.5,387.66,1.0,0.42857142857142855,149.25,-286.6308,13.769230769230768,2019-12-09 08:22:13.462,,,28.07,0.10000000000000002,,,,,i.O.,n.i.O.,i.O.,15,30
30,30,,3.703703703774021e-05,-2.03,601.4039090909091,162.9273076923077,0.5,635.4705882352941,1.0,0.5,,1.0,0.5207692307692308,0.0,401.53,3.888888888888889,0.6666666666666666,-90.0,-287.778,20.444444444444443,2019-12-09 08:22:18.760,,,28.066000000000006,0.1,,,,,i.O.,n.i.O.,i.O.,15,31
31,31,,-5.368919999999999,-152.9365,591.8524444444444,182.05923076923077,0.5,635.2,0.3333333333333333,0.8,,0.5,0.40384615384615385,533.0,410.33,7.0,1.0,-104.85714285714286,-291.5504,22.75,2019-12-09 08:22:23.977,74.32,,,0.07777777777777778,,,,,i.O.,n.i.O.,i.O.,15,32
32,32,3.5,-4.35790909090909,-177.298,99.35800000000003,187.3476923076923,0.5,635.5,1.4285714285714286,0.8571428571428571,,0.8333333333333334,0.3623076923076923,2775.0,424.1966666666667,2.5,0.875,233.3636363636364,-289.53833333333336,19.235294117647054,2019-12-09 08:22:29.033,,,,0.10000000000000002,,,,,i.O.,n.i.O.,i.O.,15,33
33,33,3.333333333333333,-0.7373846153846169,383.0173333333333,-279.01609999999994,184.0696296296296,0.5,635.5333333333333,1.0,0.75,0.05,0.5,0.4883333333333333,5654.666666666668,440.65,12.0,0.875,327.8888888888889,-286.7304000000001,18.454545454545453,2019-12-09 08:22:34.369,,,28.031999999999996,0.12,,,,,i.O.,n.i.O.,i.O.,15,34
