,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.C1_Axis.Actual_Power,Label
0,3.5,20.97240625,623.1444444444444,188.78279069767444,0.7,317.29411764705884,1.8,0.5,0.042857142857142864,0.14444444444444446,4.909090909090909,0.6625000000000002,0.0,0.8333333333333334,3847.625,-298.5534146341463,19.09090909090909,2019-12-09 10:05:50.053,,,,,,,,,,,-
1,3.5,18.656567567567567,199.25291666666666,165.19772727272732,0.7142857142857143,317.0,1.5,0.5,,0.4222222222222223,4.833333333333333,0.4200000000000001,5.333333333333333,0.5,-16.46153846153846,-295.50395348837213,17.263157894736842,2019-12-09 10:05:58.728,-205.7195,721.5,365.21500000000003,,,,,,,,-
2,3.5,10.091973684210526,-79.82539999999995,174.86931818181813,0.5769230769230769,317.10526315789474,0.3333333333333333,0.75,,0.6285714285714287,5.5,0.44090909090909086,1.6923076923076923,0.6666666666666666,365.375,-295.5130232558139,18.375,2019-12-09 10:06:07.460,251.736,4466.5,376.87,73.16,,,,,,,-
3,3.6,11.385031249999999,359.02825,188.61266666666666,0.4782608695652174,317.07142857142856,1.75,1.0,,0.7545454545454546,0.42857142857142855,0.36950000000000005,2.5,0.75,106.21428571428571,-293.38249999999994,14.933333333333334,2019-12-09 10:06:16.260,20.978,1166.5,388.065,,28.262857142857143,,,,,,-
4,3.5,14.381083333333338,191.94791666666666,166.715,0.6818181818181818,317.3636363636364,0.5,0.8,0.09000000000000002,0.19999999999999998,0.5,0.3959090909090909,8.0,1.0,-187.75,-295.5048837209302,16.041666666666668,2019-12-09 10:06:25.255,-244.9685,939.0,410.15999999999997,,28.265,,,,,,-
5,3.5,14.663058823529415,-55.641499999999986,176.38181818181815,0.6818181818181818,317.3333333333333,1.5,1.0,0.09090909090909091,0.05,0.5,0.42863636363636354,7.0,0.625,194.71428571428572,-294.90348837209297,18.25,2019-12-09 10:06:34.058,199.8546666666667,3599.0,422.93333333333334,,28.232,,,,,,-
6,3.5,20.336848484848485,487.2006666666666,194.22931818181817,0.7,317.3,1.6,1.0,0.10000000000000003,0.05,0.5,0.3772727272727273,1.0,0.8571428571428571,336.14285714285717,-295.5381395348837,13.941176470588236,2019-12-09 10:06:43.100,0.0,0.0,440.33,73.15,,,,,,,-
7,3.5,17.12032142857143,178.73691666666664,162.98727272727277,0.631578947368421,317.3333333333333,1.5,0.0,0.09411764705882354,0.05,0.5,0.3195454545454546,15.0,1.0,117.84615384615384,-297.07595238095234,16.72222222222222,2019-12-09 10:06:51.746,-265.9465,1185.0,455.09000000000003,,28.2,,,,,,-
8,3.5,16.065351351351353,-84.62799999999999,178.7291111111111,0.5,317.2857142857143,1.5,1.0,0.11578947368421054,0.05,0.8461538461538461,0.5,5.833333333333333,0.875,-296.75,-295.1883333333332,16.65,2019-12-09 10:07:00.576,226.472,2505.6666666666665,467.55,,28.18,176.0,-412.66,,,,-
9,3.75,11.62109090909091,557.193,187.2782608695652,0.5,317.15384615384613,1.5,0.6666666666666666,0.10000000000000002,0.05,0.5,0.48045454545454547,1.6,1.5,-226.0,-295.4927906976744,14.263157894736842,2019-12-09 10:07:09.563,223.991,-17263.0,372.28999999999996,,28.165,2158.0,-400.425,69.873,,,-
10,3.6,16.26951515151515,190.06872727272727,174.43772727272724,0.5714285714285714,317.2307692307692,0.75,0.5,0.12142857142857146,0.03333333333333333,1.0769230769230769,0.4828571428571429,4.666666666666667,0.6666666666666666,284.0,-295.09883720930225,16.238095238095237,2019-12-09 10:07:18.602,-265.9465,1460.0,365.005,73.14,28.15,,,,,,-
11,3.5,19.174818181818182,-18.937692307692277,175.92000000000002,0.76,317.1818181818182,1.6,1.0,0.10000000000000002,,0.5,0.37999999999999995,5.6,0.7142857142857143,249.0,-295.5453488372093,16.61111111111111,2019-12-09 10:07:27.431,365.423,4422.0,375.975,,,,,,,,-
12,3.5,18.012696969696968,480.7764444444444,189.84288888888887,0.55,317.25,1.6,0.8,0.11666666666666667,,0.5,0.37499999999999994,1.5,0.5714285714285714,-33.0,-295.1864285714285,14.5625,2019-12-09 10:07:36.236,0.6765,518.5,387.9,,28.13,,,,,,-
13,3.5,14.510621621621622,234.06775,167.77181818181816,0.5,317.4,1.5,0.8333333333333334,0.15000000000000002,,0.5,0.33217391304347826,4.0,0.6666666666666666,172.7,-295.49418604651163,16.5,2019-12-09 10:07:45.241,-238.8785,1763.5,409.895,,28.101999999999997,,,,,,-
14,3.5,11.504857142857142,-27.976181818181804,177.43977272727273,0.5769230769230769,317.1666666666667,0.3333333333333333,1.0,0.1642857142857143,,0.5,0.4649999999999999,7.5,0.7142857142857143,184.25,-295.54883720930235,16.105263157894736,2019-12-09 10:07:54.109,385.7245,4351.5,420.67999999999995,,,,,,,,-
15,,13.364242424242425,478.91133333333335,191.18288888888887,0.5,317.3,2.0,1.0,0.15000000000000005,,0.5,0.4869565217391304,1.1666666666666667,0.5714285714285714,-174.9,-295.185,14.944444444444445,2019-12-09 10:08:02.878,,360.0,432.87,73.13,28.05,,,,24.345,,-
16,3.3333333333333335,17.937709677419356,207.64577777777777,169.2872727272727,0.7391304347826086,317.3636363636364,1.5,0.6666666666666666,0.15000000000000002,,0.5,0.37,17.666666666666668,0.7142857142857143,112.15384615384616,-294.8467441860465,16.55,2019-12-09 10:08:11.835,127.22133333333335,4232.0,456.66333333333336,,28.07,,,,24.345,,-
17,4.0,23.686529411764706,-2.8823636363636913,178.22772727272726,0.72,317.25,1.3333333333333333,0.5,0.13333333333333336,,0.8333333333333334,0.5168181818181818,0.46153846153846156,0.6666666666666666,315.875,-295.5083720930232,16.11764705882353,2019-12-09 10:08:20.705,0.0,-230.5,470.31,,28.03,58.0,,,24.345,,-
18,3.4,15.978972222222223,535.071,188.6869565217391,0.6551724137931034,317.3333333333333,1.5,0.8333333333333334,0.1444444444444445,,0.5,0.4943478260869565,10.333333333333334,1.0,111.33333333333333,-293.37522727272733,15.666666666666666,2019-12-09 10:08:29.500,259.85633333333334,-10334.333333333334,371.1433333333334,,28.035,2199.5,-385.71500000000003,77.066,24.345,,-
19,3.5,18.642166666666665,174.8089090909091,175.4945454545455,0.56,317.0,1.5,0.0,0.168,,0.5,0.29954545454545456,5.833333333333333,0.8333333333333334,-228.55555555555554,-295.11642857142857,16.57894736842105,2019-12-09 10:08:38.713,414.146,4252.0,367.895,73.12,,,,,24.345,,-
20,3.6,12.43767567567568,12.716545454545457,176.98204545454544,0.5217391304347826,317.5,1.3333333333333333,1.0,0.16,,0.5,0.48545454545454536,0.4444444444444444,0.7142857142857143,241.7,-295.15209302325576,16.733333333333334,2019-12-09 10:08:47.510,0.0,230.5,380.355,,28.0,,,,24.345,,-
21,3.5,15.979000000000001,450.23059999999987,194.82840909090908,0.5555555555555556,317.5,1.5,0.5,0.17500000000000004,,0.5,0.3654545454545455,0.5,0.7142857142857143,249.75,-295.54418604651164,15.294117647058824,2019-12-09 10:08:56.348,,0.0,395.33,,,,,,24.345,,-
22,3.4,16.716461538461534,126.53853846153851,173.66488888888892,0.6296296296296297,317.3,1.0,1.0,0.17222222222222228,,0.5,0.4177272727272727,13.5,0.7142857142857143,-218.11111111111111,-295.19238095238086,15.91304347826087,2019-12-09 10:09:05.165,141.65766666666667,4380.666666666667,411.3766666666667,,27.971999999999998,,,,24.345,,-
23,3.6666666666666665,15.887657142857146,42.218727272727264,178.4972727272727,0.6428571428571429,317.6666666666667,1.5,0.6,0.1578947368421053,,0.5,0.4836363636363636,0.4,0.7142857142857143,172.83333333333334,-295.4925581395348,16.666666666666668,2019-12-09 10:09:14.156,0.0,129.5,425.34000000000003,73.11,,,,,24.345,,-
24,,16.43554285714286,388.79776923076923,196.3477272727273,0.7142857142857143,317.5,1.0,1.0,0.17500000000000002,,0.5,0.3595454545454545,1.0,0.625,264.22222222222223,-295.54511627906976,15.75,2019-12-09 10:09:22.930,,0.0,440.33,,27.94,,,,24.348,,-
25,3.3333333333333335,19.17482857142857,175.52488888888888,167.00044444444444,0.7037037037037037,317.4,1.8,1.0,0.1285714285714286,,0.5,0.4164999999999999,17.666666666666668,0.7142857142857143,-129.0,-295.18761904761897,16.789473684210527,2019-12-09 10:09:31.725,146.16899999999998,4494.333333333333,456.08,,27.936,,,,24.34333333333333,,-
26,4.0,18.138324324324326,66.31400000000005,180.0131818181818,0.5769230769230769,317.5,1.0,1.0,0.1444444444444445,,0.5,0.27809523809523806,0.4,0.7142857142857143,172.7,-295.49418604651163,17.666666666666668,2019-12-09 10:09:40.738,0.0,-57.5,470.33,,,14.0,,,24.34714285714286,,-
27,3.4285714285714284,22.44853658536585,342.3271818181818,190.29630434782607,0.7586206896551724,317.6666666666667,2.0,1.0,0.15000000000000002,,0.5,0.38916666666666666,5.666666666666667,1.1,219.91666666666666,-293.4184090909091,15.45,2019-12-09 10:09:49.525,500.4265,-9692.666666666666,373.0233333333333,73.1,27.903333333333332,2235.5,-371.15999999999997,87.341,24.345,,-
28,3.5,21.247783783783788,82.06363636363636,177.1027272727273,0.7,317.1333333333333,1.5,1.0,0.17142857142857149,,0.5,0.5095,7.333333333333333,0.7,-187.88888888888889,-295.1766666666667,17.625,2019-12-09 10:09:58.736,345.1215,3565.5,366.845,,,,,,24.345,,-
29,3.6,18.191487179487183,195.13424999999998,178.58931818181816,0.7333333333333333,317.3125,1.5,0.5,0.1529411764705883,,0.8333333333333334,0.5109523809523809,0.42857142857142855,0.5,208.75,-295.49976744186046,16.53846153846154,2019-12-09 10:10:07.529,0.0,0.0,380.33,,,,,,24.342857142857138,,-
30,3.4285714285714284,16.918941176470593,341.4964000000001,192.70133333333337,0.6896551724137931,317.3333333333333,1.5,1.0,0.1866666666666667,,0.5,0.325,2.111111111111111,0.5454545454545454,180.14285714285714,-293.3829545454545,15.733333333333333,2019-12-09 10:10:16.538,-56.39233333333334,2394.3333333333335,401.29999999999995,,,,,,24.36,,-
31,3.5,11.401243243243243,31.706363636363633,178.62113636363642,0.6428571428571429,317.5,1.4,1.0,0.1466666666666667,,0.5,0.38772727272727286,14.666666666666666,1.0,-297.125,-295.17714285714277,18.0,2019-12-09 10:10:25.366,350.5355,3565.5,411.845,,27.87,,,,24.345,,-
32,4.0,21.36622857142857,197.90577777777776,180.10431818181812,0.7931034482758621,317.375,1.25,0.5,0.15263157894736848,,0.5,0.36727272727272725,0.4,0.6666666666666666,265.0,-295.5016279069767,15.352941176470589,2019-12-09 10:10:34.142,0.0,0.0,425.33,73.09,27.845,,,,24.345,,-
33,3.0,16.354970588235293,293.66554545454545,194.02844444444443,0.7,317.07142857142856,1.6666666666666667,1.0,0.16363636363636366,,0.5,0.3709090909090909,4.0,0.5714285714285714,183.5,-293.3825,15.235294117647058,2019-12-09 10:10:42.940,-52.33233333333334,2394.3333333333335,446.29999999999995,,27.84,,,,24.34,,-
34,4.0,14.844967741935484,-42.27511111111107,171.95704545454544,0.47619047619047616,317.1333333333333,1.5,0.5,0.15000000000000005,,0.5,0.40863636363636363,14.333333333333334,1.0,-229.2,-295.1733333333333,15.782608695652174,2019-12-09 10:10:51.943,289.6315,3322.0,456.615,,,,,,24.36,,-
35,,20.772694444444443,181.65889999999996,181.62090909090904,0.7692307692307693,317.5,1.5,1.0,0.15000000000000002,,0.5,0.4325,0.5,0.7142857142857143,214.5,-295.24674418604644,17.2,2019-12-09 10:11:00.739,0.0,0.0,470.33,,,,,,,,-
36,3.5,18.627000000000006,327.1353,187.36288888888893,0.7307692307692307,317.5,1.75,0.5,0.17500000000000002,,0.75,0.40772727272727277,14.0,1.3,363.8888888888889,-295.5167441860466,15.277777777777779,2019-12-09 10:11:09.565,1047.5456666666666,-11962.0,371.28,73.08,27.81,1495.0,-356.61,61.65266666666667,,,-
37,3.4285714285714284,15.339799999999997,-11.749799999999983,167.5442222222223,0.72,317.2,2.0,0.8571428571428571,0.15333333333333338,,0.5,0.4378260869565218,10.0,0.7,-59.3,-293.3784090909091,16.045454545454547,2019-12-09 10:11:18.582,140.7553333333333,4564.333333333333,364.85999999999996,,27.814999999999998,,,,24.345,,-
38,3.6666666666666665,22.558558823529413,267.53555555555556,172.01113636363635,0.6818181818181818,317.5,1.3333333333333333,0.75,0.16153846153846158,,0.7,0.4972727272727273,0.5,0.5,-80.875,-295.49720930232553,16.818181818181817,2019-12-09 10:11:27.620,0.0,0.0,380.33,,,,,,,,-
