,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Temperature_Y_Slide,Label
0,3.4,-15.579531250000002,35.103499999999976,189.6665656565656,0.5,951.5,0.7272727272727273,0.75,26.255,0.12500000000000003,1.5238095238095237,0.38333333333333336,0.5,1.2727272727272727,723.7692307692307,-281.03941176470585,13.68,2019-12-09 11:49:28.249,,,,,,,,,,-
1,3.5,-5.992125000000001,233.91233333333335,182.91555555555553,0.5,951.5,1.3333333333333333,1.0,,0.16666666666666666,1.5,0.5728571428571428,6.571428571428571,0.7142857142857143,-5.583333333333333,-275.58000000000004,21.5,2019-12-09 11:49:47.810,98.34833333333334,4345.333333333333,367.05,,,,,,,-
2,3.5,-5.555555555976829e-05,371.99890909090914,173.65444444444447,0.5,951.4444444444445,1.0,0.5,,0.15000000000000002,0.0,0.45124999999999993,13.857142857142858,0.7142857142857143,-300.3636363636364,-280.238125,22.22222222222222,2019-12-09 11:49:51.509,365.42275,4305.25,383.174,,,,,,,-
3,4.0,-4.511705882352942,55.0916153846154,180.28411764705882,0.5,951.5,1.1666666666666667,0.5,,0.1,0.5,0.395,8.0,0.7142857142857143,-26.583333333333332,-280.005625,22.0,2019-12-09 11:49:54.843,20.978,3725.6666666666665,395.565,0.16,,,,,,-
4,,-7.190562500000004,2.0347272727272783,180.77705882352944,0.5,951.5555555555555,1.1666666666666667,0.8,,,0.5,0.51625,1.0,0.8571428571428571,42.5,-280.12625,15.777777777777779,2019-12-09 11:49:58.207,0.0,0.0,410.33,0.14285714285714288,,,,,,-
5,3.0,-10.652666666666672,490.3299,180.73111111111112,0.5,951.5,1.1428571428571428,1.0,,,0.5,0.45999999999999996,4.0,0.6666666666666666,-196.63636363636363,-280.154375,21.1,2019-12-09 11:50:01.686,-52.33233333333333,2902.6666666666665,428.94666666666666,0.15,,,,,,-
6,3.5,-7.89541176470589,240.42590909090907,183.03470588235294,0.5555555555555556,951.5,0.5,0.8,,,0.5,0.42874999999999996,14.666666666666666,0.7142857142857143,-246.6,-278.036,21.272727272727273,2019-12-09 11:50:05.211,349.182,3565.5,441.845,0.15,,,,,,-
7,4.0,1.2783333333333322,-147.96300000000005,185.2464705882353,0.42857142857142855,951.4444444444445,1.75,1.0,,,0.5,0.57625,0.0,0.7142857142857143,152.36363636363637,-280.18625000000003,19.77777777777778,2019-12-09 11:50:08.617,0.0,129.5,455.34000000000003,0.15000000000000002,,,,,,-
8,5.0,-6.767529411764707,192.9738,173.43500000000003,0.5,951.5,0.3333333333333333,1.0,,,0.5,0.52,15.0,2.0,-20.583333333333332,-275.4488235294118,16.583333333333332,2019-12-09 11:50:12.018,5887.37,-16131.0,453.26,0.15000000000000002,4033.0,-408.41,,,,-
9,3.0,-6.767529411764705,490.5164,179.90611111111113,0.75,951.5,2.0,1.0,,,1.0,0.7162499999999999,12.8,1.1666666666666667,-276.27272727272725,-280.07062500000006,22.9,2019-12-09 11:50:15.615,-139.40199999999996,1742.6666666666667,353.13999999999993,0.15000000000000002,233.0,-397.74,62.33766666666666,,,-
10,3.5,-17.976375,132.00633333333337,167.8894117647059,0.5555555555555556,951.5,0.5,0.0,,,0.4,0.5375,0.4,1.0,-58.54545454545455,-280.01,29.22222222222222,2019-12-09 11:50:19.220,0.0,0.0,365.33,0.16666666666666666,,,,72.5,,-
11,3.5,8.388999999999996,-13.055500000000015,180.52588235294118,0.42857142857142855,951.5,1.5,0.5,26.255,,0.5,0.52125,0.6,0.8,310.84615384615387,-280.26062500000006,21.272727272727273,2019-12-09 11:50:22.688,35.189,3980.5,378.29499999999996,0.14,,,,,,-
12,3.6666666666666665,-3.3838235294117682,542.3241111111112,182.8338888888889,0.5,951.5,1.25,0.75,,,0.6666666666666666,0.28125000000000006,5.75,0.5714285714285714,-196.63636363636363,-280.154375,17.583333333333332,2019-12-09 11:50:26.006,347.152,2463.3333333333335,391.34666666666664,0.15000000000000002,,,,,,-
13,,-10.785750000000004,233.81336363636362,181.20944444444444,0.5,951.5,1.8,0.5,,0.05,0.3333333333333333,0.4114285714285715,1.0,0.5,-137.1818181818182,-278.03799999999995,15.727272727272727,2019-12-09 11:50:29.802,,0.0,410.33,0.1,,,,,,-
14,3.5,-9.58725,-114.14289999999998,180.818125,0.5454545454545454,951.5,0.5,0.75,,0.06000000000000001,0.5,0.6633333333333333,5.75,0.6666666666666666,265.38461538461536,-280.0475,22.3,2019-12-09 11:50:33.078,-242.9385,1763.5,424.895,0.0,,,,,,-
15,3.5,-6.391555555555557,246.69945454545453,190.83944444444444,0.5,951.5,1.0,1.0,,0.0,0.5,0.27299999999999996,10.75,0.75,68.07692307692308,-275.58000000000004,21.9,2019-12-09 11:50:36.402,227.82533333333333,3944.6666666666665,438.0366666666667,0.05,,,,,,-
16,,-9.5874375,445.5471111111111,168.43764705882353,0.5,951.5555555555555,1.75,0.0,,0.1,0.6666666666666666,0.22,0.5,0.5,-195.08333333333334,-280.231875,15.7,2019-12-09 11:50:40.012,0.0,0.0,455.33,0.05,,,,,,-
17,5.0,-15.79094117647059,62.90409090909089,190.10705882352946,0.5,951.4444444444445,0.3333333333333333,1.0,,0.0,0.3333333333333333,0.35750000000000004,6.25,3.0,39.7,-280.15250000000003,14.909090909090908,2019-12-09 11:50:43.417,1686.3593333333336,-7795.0,464.63999999999993,0.15,3017.0,-395.56,8.22,,,-
18,3.5,-3.3837647058823497,20.329500000000007,180.64944444444444,0.4444444444444444,951.5555555555555,1.3333333333333333,0.5,,,0.6,0.5357142857142858,28.4,1.8,96.33333333333333,-280.11437500000005,20.666666666666668,2019-12-09 11:50:47.057,-1871.101,-5971.5,353.03999999999996,,746.5,-383.02,9.248,,,-
19,3.5,-14.0614,494.41609090909094,167.12388888888884,0.5,951.5,1.2857142857142858,1.0,,,0.4,0.19749999999999998,7.333333333333333,0.8333333333333334,-277.125,-280.148125,18.181818181818183,2019-12-09 11:50:50.401,290.3085,2301.0,361.1933333333333,0.08,,,,,,-
20,3.5,-25.1669375,229.03199999999998,170.63588235294114,0.5454545454545454,951.4444444444445,1.3333333333333333,1.0,,,0.5,0.43875000000000003,0.75,0.5,-60.53846153846154,-278.03266666666667,16.5,2019-12-09 11:50:54.011,,0.0,380.33,0.15000000000000002,,,,,,-
21,3.5,-5.1134,-184.85022222222221,175.1694117647059,0.42857142857142855,951.5555555555555,0.5,0.0,,,0.5,0.3057142857142857,4.666666666666667,0.8,280.9,-280.06375,22.6,2019-12-09 11:50:57.406,-256.473,1460.0,395.005,0.12,,,,,,-
22,3.5,-11.718000000000004,293.75040000000007,199.82888888888886,0.5,951.5,1.0,0.8,,,0.5,0.39333333333333337,10.25,0.75,-17.333333333333332,-275.5888235294118,21.9,2019-12-09 11:51:00.802,192.63666666666668,4333.333333333333,408.59,0.14,,,,,,-
