,Unnamed: 0,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
0,0,15.339900000000005,607.5502000000001,179.02659090909088,0.6153846153846154,951.5263157894735,1.3333333333333333,0.6666666666666666,0.2,1.5,0.442,0.5,1.0,6583.277777777777,-302.355945945946,16.6,2019-12-11 09:24:55.038,,,,,,,,,,,,i.O.,n.i.O.,i.O.,20,1
1,1,8.3889375,198.42054838709683,174.67656250000005,0.5,951.4814814814816,1.0,1.0,0.35,,0.3025,4.5555555555555545,0.8,947.4545454545456,-297.61745454545445,16.09090909090909,2019-12-11 09:24:57.497,6.5,60.22725,2402.2,361.056,,,,,,,,i.O.,n.i.O.,i.O.,20,2
2,2,-7.6698666666666675,246.2755909090908,186.9287931034483,0.6,951.5238095238096,0.5,0.0,0.5,3.0,0.4,7.0,0.8333333333333334,3024.1724137931037,-301.25961538461536,21.166666666666668,2019-12-11 09:25:00.992,7.0,61.91874999999999,3594.75,375.2175,26.155,,,,,,,i.O.,n.i.O.,i.O.,20,3
3,3,8.217571428571423,460.17292307692315,182.94083333333333,0.5294117647058824,951.4230769230768,1.4,0.5,0.5666666666666668,2.5,0.38875,6.888888888888888,0.75,1131.2962962962965,-298.08352941176486,23.11111111111111,2019-12-11 09:25:04.427,,-55.82875000000001,3009.666666666666,390.42333333333335,26.155,,,,,,,i.O.,n.i.O.,i.O.,20,4
4,4,3.5953125000000004,546.8926363636364,176.69507936507938,0.4782608695652174,951.5,1.6,1.0,0.6,2.5,0.35500000000000004,8.666666666666666,0.75,1524.666666666667,-298.40846153846144,16.46153846153846,2019-12-11 09:25:07.948,6.5,-71.393,2272.0,405.2233333333333,26.16,,,,,,,i.O.,n.i.O.,i.O.,20,5
5,5,-3.3838823529411743,580.04025,175.59672131147542,0.5185185185185185,951.52,1.2857142857142858,0.0,0.6833333333333332,,0.4385714285714286,7.7,0.75,1027.2068965517242,-296.585,17.5,2019-12-11 09:25:11.304,7.166666666666668,89.32580000000002,3601.2,419.02,26.155,,,,,,,n.i.O.,n.i.O.,i.O.,20,6
6,6,3.5953125000000017,293.8168928571428,190.4536507936508,0.4782608695652174,951.375,1.25,1.0,0.7666666666666666,,0.5075,10.375,0.7142857142857143,24.0,-295.5446808510639,23.88888888888889,2019-12-11 09:25:14.754,7.5,105.0252,3601.8,434.92199999999997,,,,,,,,i.O.,n.i.O.,i.O.,20,7
7,7,-5.6395882352941165,313.7480370370372,185.2124193548387,0.5294117647058824,951.48,1.75,1.0,0.8600000000000001,3.6666666666666665,0.44142857142857145,9.444444444444443,0.8,-18.516129032258068,-293.3817021276596,19.25,2019-12-11 09:25:18.194,7.5,114.2286,3599.8,449.56199999999995,,23.535,,,,,,i.O.,n.i.O.,i.O.,20,8
8,8,-7.895470588235292,297.1267586206897,174.49694915254238,0.5,951.4615384615383,0.3333333333333333,0.0,0.8333333333333334,2.75,0.5725,9.375,0.8333333333333334,-24.23333333333333,-292.7567391304348,15.0,2019-12-11 09:25:21.697,7.5,114.499,3599.4,464.32199999999995,,,,,,,,i.O.,n.i.O.,i.O.,20,9
9,9,-15.79094117647059,421.91378260869567,175.47587301587302,0.5,951.5,1.4,0.6666666666666666,0.0,0.5,0.33444444444444443,25.58333333333333,3.1333333333333333,-101.91176470588236,-292.72521739130434,19.33333333333333,2019-12-11 09:25:25.161,7.5,641.8586249999997,-16000.222222222224,405.4688888888888,,,54.716625,0.06666666666666668,1999.888888888889,-404.5744444444445,,i.O.,n.i.O.,i.O.,20,10
