,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Main_Spindle.Temperature_Spindle,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Energy_Savings.Active_Power_Y1,12430012063.C1_Axis.Actual_Power,12430012063.Maintenance_Package.Tool_Changer_Main,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
0,0,6.5,17.044296296296288,332.941,-290.95244444444444,184.5717857142857,0.5,951.5454545454544,1.25,0.5,0.03333333333333333,0.11666666666666665,3.333333333333333,0.22,8.0,0.5,1476.25,-315.6007692307693,20.0,2019-12-16 08:25:11.016,,,,,,,,,,,i.O.,n.i.O.,i.O.,23,1
1,1,6.5,3.687499999999997,0.0,-235.5596,173.37249999999997,0.5,951.3846153846154,1.6,1.0,,0.4,3.5,0.12,0.5,0.3333333333333333,-2211.777777777778,-312.75740740740736,19.75,2019-12-16 08:25:16.618,26.77,1185.0,365.09,,,,,,,,i.O.,n.i.O.,i.O.,23,2
2,2,6.5,-3.424071428571431,420.913,74.74684615384619,171.52137931034486,0.5,951.5,2.0,0.5,,0.6499999999999999,,0.13466666666666666,9.75,1.0,296.6666666666667,-312.7851851851851,24.0,2019-12-16 08:25:22.263,26.778,14.5,380.33,20.695,,,,,,,n.i.O.,n.i.O.,i.O.,23,3
3,3,6.6,-0.7374999999999983,27.745,428.10792307692316,175.78275862068966,0.5384615384615384,951.5,1.8,1.0,,0.8750000000000001,2.0,0.12833333333333333,1.75,0.8,360.4,-308.67,23.8,2019-12-16 08:25:28.020,26.774999999999995,1742.5,388.26,20.7,,,,,,,i.O.,n.i.O.,i.O.,23,4
4,4,6.5,-3.424071428571433,0.4509999999999981,94.83230769230771,179.2575862068966,0.5,951.5,2.0,0.8,,1.0833333333333337,2.5,0.19727272727272727,8.0,1.0,147.44444444444446,-309.52964285714285,17.90909090909091,2019-12-16 08:25:33.823,26.772,4351.5,405.68,20.695,,,,,,,i.O.,n.i.O.,i.O.,23,5
5,5,6.5,-1.420407407407403,409.409,-204.48054545454545,184.0910344827586,0.4545454545454545,951.5,1.6,1.0,,1.15,0.0,0.2992307692307692,3.7,0.8,-48.75,-309.4864285714287,14.083333333333336,2019-12-16 08:25:39.628,26.775,3797.0,423.555,20.68,74.45,,,,,,i.O.,n.i.O.,i.O.,23,6
6,6,6.5,-11.799884615384615,0.0,190.57754545454551,180.90964285714287,0.5454545454545454,951.5,1.3333333333333333,0.75,0.05,0.2600000000000001,,0.2953846153846155,1.0,1.0,263.125,-312.75111111111113,17.875,2019-12-16 08:25:45.424,,939.0,440.16,20.7,,,,,,,i.O.,n.i.O.,i.O.,23,7
7,7,6.5,6.135920000000002,-221.28400000000002,469.8672857142857,175.88896551724136,0.5,951.3333333333335,1.8,0.5,0.05000000000000001,0.05000000000000001,,0.16307692307692312,10.5,1.0,273.72727272727275,-309.5053571428571,18.272727272727273,2019-12-16 08:25:51.028,,57.5,447.835,,,,,,,,i.O.,n.i.O.,i.O.,23,8
8,8,6.5,-4.108821428571427,-15.79,119.89828571428572,181.5134482758621,0.5,951.5,1.2,0.5,0.06000000000000001,0.05,,0.14000000000000004,8.5,0.8333333333333334,-32.375,-308.752962962963,14.333333333333336,2019-12-16 08:25:56.891,,2418.5,463.535,,,706.0,-412.6,,,,i.O.,n.i.O.,i.O.,23,9
9,9,6.428571428571429,-10.579206896551726,159.252,-145.22739999999996,190.611,0.4666666666666667,951.529411764706,2.4,0.8333333333333334,0.042857142857142864,0.06666666666666668,,0.15000000000000002,9.2,2.0,37.375,-309.5100000000001,20.75,2019-12-16 08:26:02.628,26.73333333333333,-12036.0,392.09,,,1898.5,-400.005,39.0465,,,i.O.,n.i.O.,i.O.,23,10
