,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Main_Spindle.Temperature_Spindle,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Energy_Savings.Active_Power_Y1,12430012063.C1_Axis.Actual_Power,12430012063.Maintenance_Package.Tool_Changer_Main,Label
0,6.5,17.04429629629629,332.941,-290.95244444444444,184.5717857142857,0.5,951.5454545454545,1.25,0.5,0.03333333333333333,0.11666666666666665,3.3333333333333335,0.22,8.0,0.5,1476.25,-315.6007692307693,20.0,2019-12-16 08:25:11.016,,,,,,,,,,,-
1,6.5,3.687499999999997,0.0,-235.5596,173.37249999999997,0.5,951.3846153846154,1.6,1.0,,0.39999999999999997,3.5,0.12,0.5,0.3333333333333333,-2211.777777777778,-312.75740740740736,19.75,2019-12-16 08:25:16.618,26.77,1185.0,365.09000000000003,,,,,,,,-
2,6.5,-3.424071428571431,420.913,74.74684615384619,171.52137931034486,0.5,951.5,2.0,0.5,,0.6499999999999999,,0.13466666666666666,9.75,1.0,296.6666666666667,-312.7851851851851,24.0,2019-12-16 08:25:22.263,26.778000000000002,14.5,380.33,20.695,,,,,,,-
3,6.6,-0.7374999999999983,27.745,428.1079230769231,175.78275862068966,0.5384615384615384,951.5,1.8,1.0,,0.8750000000000001,2.0,0.12833333333333333,1.75,0.8,360.4,-308.67,23.8,2019-12-16 08:25:28.020,26.774999999999995,1742.5,388.26,20.7,,,,,,,-
4,6.5,-3.4240714285714335,0.4509999999999981,94.8323076923077,179.2575862068966,0.5,951.5,2.0,0.8,,1.0833333333333335,2.5,0.19727272727272727,8.0,1.0,147.44444444444446,-309.52964285714285,17.90909090909091,2019-12-16 08:25:33.823,26.772,4351.5,405.67999999999995,20.695,,,,,,,-
5,6.5,-1.4204074074074027,409.409,-204.48054545454542,184.0910344827586,0.45454545454545453,951.5,1.6,1.0,,1.15,0.0,0.2992307692307692,3.7,0.8,-48.75,-309.4864285714287,14.083333333333334,2019-12-16 08:25:39.628,26.775000000000002,3797.0,423.55499999999995,20.68,74.45,,,,,,-
6,6.5,-11.799884615384617,0.0,190.57754545454551,180.90964285714287,0.5454545454545454,951.5,1.3333333333333333,0.75,0.05,0.26000000000000006,,0.29538461538461547,1.0,1.0,263.125,-312.7511111111111,17.875,2019-12-16 08:25:45.424,,939.0,440.15999999999997,20.7,,,,,,,-
7,6.5,6.135920000000002,-221.284,469.86728571428563,175.88896551724136,0.5,951.3333333333334,1.8,0.5,0.05000000000000001,0.05000000000000001,,0.16307692307692312,10.5,1.0,273.72727272727275,-309.5053571428571,18.272727272727273,2019-12-16 08:25:51.028,,57.5,447.835,,,,,,,,-
8,6.5,-4.108821428571427,-15.79,119.89828571428572,181.5134482758621,0.5,951.5,1.2,0.5,0.06000000000000001,0.05,,0.14000000000000004,8.5,0.8333333333333334,-32.375,-308.752962962963,14.333333333333334,2019-12-16 08:25:56.891,,2418.5,463.53499999999997,,,706.0,-412.6,,,,-
9,6.428571428571429,-10.579206896551726,159.252,-145.22739999999996,190.61099999999996,0.4666666666666667,951.5294117647059,2.4,0.8333333333333334,0.042857142857142864,0.06666666666666667,,0.15000000000000002,9.2,2.0,37.375,-309.5100000000001,20.75,2019-12-16 08:26:02.628,26.733333333333334,-12036.0,392.09,,,1898.5,-400.005,39.0465,,,-
10,6.5,-4.425000000000001,115.7175,-14.920461538461531,169.09103448275866,0.5,951.4705882352941,1.75,1.0,0.05454545454545454,0.04,,0.15083333333333335,1.75,0.8,353.6666666666667,-309.48249999999996,23.923076923076923,2019-12-16 08:26:08.630,26.74,3584.5,363.79999999999995,,,,,,,,-
11,6.6,-15.623925925925928,0.0,452.6820000000001,188.96142857142857,0.5,951.5384615384615,2.2,0.75,0.05,0.05,0.5,0.18642857142857142,0.3333333333333333,0.5,284.625,-312.7581481481481,20.8,2019-12-16 08:26:14.433,26.740000000000002,721.5,380.21500000000003,,74.44,,,,,,-
12,6.5,-4.793750000000003,-244.292,328.0581052631579,176.02034482758617,0.5,951.4705882352941,2.0,1.0,0.04,0.05,0.5714285714285714,0.1471428571428572,7.25,0.75,45.625,-309.5053571428571,15.571428571428571,2019-12-16 08:26:20.027,,129.5,387.84000000000003,,,,,,,,-
13,,-8.849884615384616,0.4509999999999981,89.52400000000002,180.85517241379307,0.5,951.5,1.75,0.8,0.05000000000000001,,0.5,0.15071428571428572,17.5,1.0,-32.5,-308.7518518518519,14.9,2019-12-16 08:26:25.832,,2418.5,403.53499999999997,,,,,,,,-
14,6.0,-18.46459259259259,409.409,-182.93325000000002,185.6903448275862,0.5,951.5,2.2,1.0,0.1,0.05,0.5,0.16285714285714284,5.4,0.8,36.625,-309.5239285714287,21.8,2019-12-16 08:26:31.630,,4422.0,420.975,,,,,,3.5,,-
15,6.5,-10.272214285714286,115.7175,-15.637846153846095,178.11034482758623,0.5384615384615384,951.5,2.2,0.0,0.06999999999999999,0.05,0.5,0.22571428571428573,2.0,1.0,279.125,-309.4814285714286,24.916666666666668,2019-12-16 08:26:37.431,,3584.5,438.79999999999995,,,,,,,,-
16,7.0,-12.783185185185186,0.0,452.8152142857143,186.45249999999996,0.5,951.5,1.6,1.0,0.05000000000000001,0.05,0.5,0.16461538461538464,0.5,0.5,189.0,-312.75962962962956,20.8,2019-12-16 08:26:43.323,26.705,721.5,455.21500000000003,,,,,,,,-
17,,-5.369000000000001,-160.60566666666668,301.61035714285714,172.62689655172414,0.4444444444444444,951.5,2.2,0.75,0.05,0.05,0.75,0.17142857142857143,5.166666666666667,0.5,11.875,-309.5071428571428,15.454545454545455,2019-12-16 08:26:48.829,26.7,129.5,462.84000000000003,20.728,,90.0,,,,,-
18,6.571428571428571,-16.43546428571429,401.06299999999993,-142.98933333333332,191.65700000000004,0.5,951.5,2.0,0.8333333333333334,0.11000000000000001,,0.4,0.13076923076923078,12.25,1.8571428571428572,162.0,-308.74185185185183,15.7,2019-12-16 08:26:54.633,26.705,-12002.0,400.1033333333333,20.725,74.43,2199.5,-386.31,53.4325,,,-
19,6.4,-9.94251851851852,257.826,-136.39939999999996,185.03103448275863,0.5,951.4375,2.0,1.0,0.1,,0.5555555555555556,0.21357142857142858,7.666666666666667,0.8,62.44444444444444,-309.52071428571435,21.0,2019-12-16 08:27:00.656,,4422.0,360.975,20.722,,,,,,,-
20,6.5,-6.8481071428571445,-175.2675,345.35100000000006,177.44793103448276,0.5,951.5,1.6,1.0,0.08333333333333333,0.05,0.5,0.21071428571428572,2.5,0.8,406.0,-309.48249999999996,25.0,2019-12-16 08:27:06.433,,3584.5,378.79999999999995,20.728,,,,,,,-
21,6.666666666666667,-16.33414814814815,0.0,527.3876923076924,184.46249999999995,0.5,951.375,1.75,1.0,0.05000000000000001,0.05,0.5,0.1928571428571429,0.3333333333333333,0.5,273.5,-312.757037037037,20.6,2019-12-16 08:27:12.275,26.675,721.5,395.21500000000003,,,,,,3.5,,-
22,,-5.478535714285714,-50.97899999999999,181.84556249999997,171.96689655172415,0.5,951.5333333333333,2.2,0.3333333333333333,0.08333333333333333,,0.5,0.16071428571428573,7.25,0.75,115.88888888888889,-309.5042857142857,14.76923076923077,2019-12-16 08:27:17.832,26.672857142857143,129.5,402.84000000000003,,,,,,,,-
23,,-4.26092592592593,291.6615,-129.75621428571426,189.21413793103451,0.5,951.4615384615385,2.2,1.0,0.1,,0.5,0.12923076923076923,13.0,1.0,-26.625,-308.7551851851852,15.636363636363637,2019-12-16 08:27:23.630,26.675,2418.5,418.53499999999997,,,,,,,,-
24,6.0,5.162423076923081,0.0,116.72316666666666,181.63206896551722,0.5,951.5,2.0,0.3333333333333333,0.08,,0.5,0.13333333333333336,7.666666666666667,0.8,61.77777777777778,-309.5239285714287,20.307692307692307,2019-12-16 08:27:29.433,,4422.0,435.975,,,,,,,,-
25,6.5,-13.696321428571428,-112.3335,545.4645384615384,186.46862068965518,0.5,951.5,1.0,1.0,0.05555555555555555,0.05,0.5,0.14666666666666664,3.3333333333333335,1.0,406.5,-309.4789285714285,24.307692307692307,2019-12-16 08:27:35.289,,3584.5,453.79999999999995,,74.42,,,,,,-
26,7.0,-9.587384615384615,-154.2895,285.8904285714286,181.9542857142857,0.5,951.5,2.2,0.3333333333333333,0.05,0.05,0.4444444444444444,0.1430769230769231,0.4,0.5,176.0,-312.75962962962956,20.22222222222222,2019-12-16 08:27:41.097,,721.5,470.21500000000003,,,,,,,,-
27,6.571428571428571,-5.681444444444444,751.824,-67.7166153846154,180.69866666666667,0.5384615384615384,951.5,2.0,0.8,0.05,,0.6666666666666666,0.12666666666666668,10.857142857142858,1.5,94.55555555555556,-309.4939285714285,14.333333333333334,2019-12-16 08:27:46.630,,-11964.0,408.0933333333333,,,1497.0,-371.09999999999997,57.5425,,,-
28,6.5,-14.203555555555555,162.41,-213.3364615384615,188.5565517241379,0.5,951.5333333333333,1.8333333333333333,1.0,0.04,0.05,0.5,0.12923076923076923,14.333333333333334,1.0,-21.25,-308.7537037037037,15.25,2019-12-16 08:27:52.638,,2418.5,358.53499999999997,,,,,,,,-
29,6.4,-17.699846153846156,330.911,237.71318181818177,180.97689655172414,0.46153846153846156,951.4545454545455,1.6,0.8333333333333334,0.11428571428571428,0.05,0.5,0.09000000000000001,6.333333333333333,0.7142857142857143,186.4,-309.5228571428573,22.272727272727273,2019-12-16 08:27:58.437,,4422.0,375.975,20.76,,,,,,,-
30,6.5,-8.112423076923077,-99.4765,471.7411999999999,185.80931034482757,0.5,951.5294117647059,1.8,1.0,0.05,0.05,0.5,0.1375,3.25,0.8,257.375,-309.48249999999996,21.3125,2019-12-16 08:28:04.241,26.633333333333336,3584.5,393.79999999999995,20.755,,,,,,,-
31,7.0,-12.271879999999996,-152.9365,138.7621,167.10821428571427,0.5,951.4705882352941,2.0,0.0,0.05,,0.5,0.13538461538461538,0.5,0.5,338.6666666666667,-312.7566666666666,20.444444444444443,2019-12-16 08:28:10.063,26.644,721.5,410.21500000000003,20.75,,,,,,,-
32,,-12.537423076923078,226.021,-192.82046153846156,180.32999999999998,0.5,951.5333333333333,2.2,1.0,0.05,,0.5,0.1978571428571429,4.833333333333333,0.5,-15.625,-309.5053571428571,14.384615384615385,2019-12-16 08:28:15.640,26.63714285714286,129.5,417.84000000000003,20.77,74.41,,,,,,-
33,,-14.91374074074074,301.1355,263.11992307692304,190.1193103448275,0.5333333333333333,951.5,1.6,0.3333333333333333,0.05000000000000001,0.05,0.5,0.15000000000000005,14.666666666666666,1.0,173.6,-308.6825925925926,16.181818181818183,2019-12-16 08:28:21.434,26.64,2418.5,433.53499999999997,,,,,,,,-
34,6.0,-13.696250000000001,-144.816,467.26520000000005,175.65206896551726,0.45454545454545453,951.5,2.0,1.0,,,0.5,0.13642857142857143,9.0,1.0,255.8181818181818,-309.51857142857136,23.4,2019-12-16 08:28:27.249,26.64,4464.0,451.27,20.755,,,,,,,-
35,7.5,-16.22484615384615,-111.657,350.2623,180.48448275862071,0.5,951.5,1.8,0.3333333333333333,0.042857142857142864,,0.5,0.16428571428571423,11.833333333333334,0.75,257.625,-309.47999999999996,23.615384615384617,2019-12-16 08:28:33.044,,3343.5,469.03,,,3759.0,-365.35,,,,-
36,6.5,-11.799884615384617,591.444,-152.25818181818184,172.90275862068967,0.5,951.5,1.3333333333333333,0.5,0.06666666666666667,,0.5,0.12000000000000002,9.0,2.0,264.125,-312.74555555555554,20.2,2019-12-16 08:28:38.909,,-11979.0,375.27,,,372.0,-352.975,57.5425,,,-
37,6.5,-7.533035714285714,222.6375,-167.23540000000003,177.73724137931035,0.5,951.4705882352941,1.8,1.0,0.15000000000000002,,0.5,0.1576923076923077,7.666666666666667,0.6666666666666666,-286.42857142857144,-309.50964285714275,17.545454545454547,2019-12-16 08:28:44.646,,230.5,357.85,,,,,,,,-
38,,-2.05435714285714,305.196,276.34291666666667,182.56655172413798,0.5,951.5,1.6,0.5,0.15,,0.3333333333333333,0.10230769230769231,4.2,0.8,296.55555555555554,-308.7540740740741,26.5,2019-12-16 08:28:50.448,,2748.5,373.705,,,,,,,,-
39,6.0,-7.273206896551725,-139.402,469.00586666666663,174.9896551724138,0.5333333333333333,951.5,2.2,1.0,0.1,,0.5,0.2192307692307692,1.75,0.8,359.9,-309.5203571428571,24.4,2019-12-16 08:28:56.249,,4464.0,391.27,,74.4,,,,,,-
