,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,Label
0,6.0,7.374923076923087,554.6751999999999,150.34714285714287,0.5,951.5,2.0,0.5,27.29,0.0,0.1,3.0,0.11833333333333335,1.0,4896.666666666667,-311.5216666666667,18.875,2019-12-16 08:56:24.001,,,,,,,,,,,-
1,6.5,6.391611111111112,430.83371428571417,188.1385,0.5384615384615384,951.5454545454545,2.0,1.0,,,0.225,3.6666666666666665,0.182,0.6666666666666666,195.4,-304.0731578947368,17.4,2019-12-16 08:56:26.803,921.5,357.995,12.666666666666666,,,,,,,,-
2,6.6,-3.0275789473684203,556.105,184.7709523809524,0.45454545454545453,951.4545454545455,1.6666666666666667,0.5,,,0.38571428571428573,3.5,0.12000000000000002,1.0,101.41666666666667,-303.95578947368426,16.076923076923077,2019-12-16 08:56:30.806,7.0,380.33,13.5,-202.11066666666667,74.23,,,,,,-
3,6.5,-0.9587500000000005,630.7704,168.001,0.5,951.5454545454545,1.6,1.0,,,0.6,,0.18444444444444447,0.5,-93.27272727272727,-304.0457894736842,14.846153846153847,2019-12-16 08:56:35.006,721.5,395.21500000000003,0.3333333333333333,75.1145,,,,,,,-
4,6.5,4.261111111111114,135.06291666666667,186.08100000000002,0.5454545454545454,951.4545454545455,1.0,1.0,,,0.7,,0.12333333333333335,0.5,-142.0,-304.0136842105262,15.923076923076923,2019-12-16 08:56:39.008,3073.5,409.245,7.0,383.694,,,,,,,-
5,6.5,-9.587449999999999,-240.22250000000008,186.1625,0.46153846153846156,951.5,1.8333333333333333,0.5,27.29,,0.9,4.5,0.2588888888888889,1.0,-138.0,-303.9973684210526,19.8125,2019-12-16 08:56:43.006,4426.5,422.16499999999996,3.8333333333333335,166.4705,,,,,,,-
6,6.5,-4.793699999999997,-152.15958333333336,168.243,0.5,951.5714285714286,2.0,0.8,27.29,,1.0,,0.154,1.0,-93.9,-304.0242105263158,22.285714285714285,2019-12-16 08:56:46.999,3966.5,434.845,1.3333333333333333,0.6765,,,,,,,-
7,6.5,-12.110368421052634,241.34139999999996,204.32149999999996,0.5,951.4444444444445,1.5714285714285714,0.8,27.29,,1.0833333333333335,3.0,0.12875,1.0,113.63636363636364,-304.0636842105263,19.833333333333332,2019-12-16 08:56:51.012,1742.5,448.26,9.666666666666666,0.0,,,,,,,-
8,6.5,-3.835000000000002,672.1286249999999,168.4015,0.5,951.5,2.2,1.0,27.28333333333333,,1.06,,0.11600000000000002,1.0,148.23076923076923,-304.0826315789474,16.23076923076923,2019-12-16 08:56:55.001,129.5,462.84000000000003,19.0,-33.8355,,,,,,,-
9,6.8,-10.091999999999995,568.69425,180.925,0.5,951.5555555555555,2.0,0.7142857142857143,27.29,0.06666666666666667,0.275,0.5,0.166,1.8571428571428572,-10.909090909090908,-304.0326315789473,15.466666666666667,2019-12-16 08:56:59.013,-11975.333333333334,374.4733333333333,2.6666666666666665,1213.0012500000003,,66.448,1497.3333333333333,-404.50333333333333,,,-
