,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Y1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
0,0,6.5,37.1510625,930.20925,193.87352941176476,0.6,634.4444444444445,1.0,0.3333333333333333,0.03333333333333333,0.11666666666666665,3.0,0.12333333333333335,1.5,2817.1,-315.0259999999999,19.571428571428573,2019-12-16 09:26:04.031,,,,,,,,,,,i.O.,n.i.O.,i.O.,25,1
1,1,6.6,18.303136363636373,105.53258333333336,183.52045454545456,0.4,634.4285714285714,0.75,0.5,,0.35,3.6666666666666665,0.22428571428571428,5.25,-77.1,-308.791,16.733333333333334,2019-12-16 09:26:07.491,-5.413666666666668,57.5,357.835,1.0,22.045,,,,,,i.O.,n.i.O.,i.O.,25,2
2,2,6.5,10.54615,-190.61129999999997,201.27818181818185,0.7647058823529411,634.4,1.7142857142857142,1.0,,0.4666666666666666,4.5,0.3066666666666667,4.0,-176.3076923076923,-304.6180952380952,14.470588235294118,2019-12-16 09:26:11.833,166.4705,1166.5,373.065,0.75,,74.04,,,,,i.O.,n.i.O.,i.O.,25,3
3,3,6.5,-5.921189464667502e-16,-237.56474999999998,169.94636363636366,0.5714285714285714,634.5,1.6666666666666667,0.5,,0.6999999999999998,4.6,0.1322222222222222,8.333333333333334,-122.2,-304.62285714285713,14.538461538461537,2019-12-16 09:26:16.242,0.0,3322.0,389.115,0.75,,,,,,,i.O.,n.i.O.,i.O.,25,4
4,4,6.333333333333332,0.9588500000000012,467.76240000000007,187.70454545454547,0.5,634.5,1.6,0.8,,0.78,4.5,0.086,15.666666666666664,-130.41666666666666,-304.61428571428576,15.384615384615385,2019-12-16 09:26:20.635,196.2455,4422.0,405.975,1.0,22.05,,,,,,i.O.,n.i.O.,i.O.,25,5
5,5,6.5,14.381149999999995,564.1021818181819,189.09954545454548,0.5384615384615384,634.5,1.2,1.0,,0.92,5.5,0.12666666666666668,6.5,-162.1875,-303.28149999999994,20.90909090909091,2019-12-16 09:26:25.029,-113.0105,4135.5,423.025,0.5,22.041999999999998,,,,,,i.O.,n.i.O.,i.O.,25,6
6,6,6.5,19.17473684210527,174.3851,174.12545454545457,0.4444444444444444,634.4444444444445,1.8333333333333333,1.0,,1.06,4.0,0.13363636363636364,1.0,-28.461538461538463,-304.57857142857154,25.54545454545455,2019-12-16 09:26:29.433,-13.083333333333336,2447.5,439.615,0.5,22.048,,,,,,i.O.,n.i.O.,i.O.,25,7
7,7,6.666666666666668,2.8762500000000046,-171.38022222222222,199.78619047619046,0.6666666666666666,634.3333333333334,0.3333333333333333,0.6666666666666666,,0.96,,0.13428571428571429,0.0,12.785714285714285,-308.6645000000001,22.75,2019-12-16 09:26:33.949,0.0,533.0,455.26,1.0,22.045,,,,,,i.O.,n.i.O.,i.O.,25,8
8,8,6.5,3.652333333333335,73.51525000000002,179.2131818181818,0.4545454545454545,634.4,1.3333333333333333,0.75,0.05,0.03333333333333333,0.5,0.11727272727272728,3.1666666666666665,15.076923076923075,-308.79649999999987,17.285714285714285,2019-12-16 09:26:38.039,167.14700000000002,57.5,462.835,1.0,22.045,,27.555,,,,i.O.,n.i.O.,i.O.,25,9
9,9,6.6,-13.422299999999998,778.7748888888887,166.59956521739133,0.5555555555555556,634.3571428571429,1.8333333333333333,1.0,0.06666666666666668,0.05,0.5,0.12909090909090912,10.142857142857142,-148.16666666666666,-304.60238095238094,15.357142857142858,2019-12-16 09:26:42.458,918.971,-11990.666666666664,402.5,1.5714285714285714,,,27.555,46.582,1497.0,-400.7000000000001,i.O.,n.i.O.,i.O.,25,10
10,10,6.5,-4.565380952380953,559.5243333333333,177.5,0.6666666666666666,634.4615384615385,1.6,0.8333333333333334,0.05,0.05,0.5,0.11500000000000002,2.8,-222.5,-304.63285714285706,14.153846153846152,2019-12-16 09:26:47.043,-247.6755,3565.5,359.345,0.8,22.045,,27.552,,,,i.O.,n.i.O.,i.O.,25,11
11,11,6.333333333333332,-8.217761904761906,323.74708333333336,178.89363636363632,0.6,634.5384615384615,1.5,1.0,0.04,,0.5,0.1181818181818182,14.333333333333336,-133.375,-304.61095238095237,15.333333333333336,2019-12-16 09:26:51.436,-77.8215,4464.0,376.27,0.8,,,,,,,i.O.,n.i.O.,i.O.,25,12
12,12,6.5,1.0092105263157904,8.308090909090879,163.92272727272731,0.4666666666666667,634.4545454545455,1.6,0.6666666666666666,0.05,0.05,0.5,0.15200000000000002,9.666666666666666,17.727272727272727,-303.2805,19.0,2019-12-16 09:26:55.839,73.085,3980.5,393.295,0.8,,74.03,,,,,i.O.,n.i.O.,i.O.,25,13
