_id,ValueID,value,timeStamp
5dde48d28e15b3086c0c68ea,12430012063.Z1_Axis.Actual_Position_MCS,-395.73,2019-11-27 10:00:00.043
5dde48d78e15b3086c0c69fb,12430012063.Z1_Axis.Actual_Position_MCS,-391.49,2019-11-27 10:00:05.447
5dde48d88e15b3086c0c6a0d,12430012063.Z1_Axis.Actual_Position_MCS,-375.23,2019-11-27 10:00:05.629
5dde48d88e15b3086c0c6a41,12430012063.Z1_Axis.Actual_Position_MCS,-395.53,2019-11-27 10:00:06.218
5dde48d88e15b3086c0c6a52,12430012063.Z1_Axis.Actual_Position_MCS,-395.73,2019-11-27 10:00:06.423
5dde48de8e15b3086c0c6b43,12430012063.Z1_Axis.Actual_Position_MCS,-395.51,2019-11-27 10:00:11.634
5dde48de8e15b3086c0c6b57,12430012063.Z1_Axis.Actual_Position_MCS,-375.23,2019-11-27 10:00:11.819
5dde48de8e15b3086c0c6b85,12430012063.Z1_Axis.Actual_Position_MCS,-391.51,2019-11-27 10:00:12.554
5dde48df8e15b3086c0c6b95,12430012063.Z1_Axis.Actual_Position_MCS,-395.73,2019-11-27 10:00:12.617
5dde48e48e15b3086c0c6c96,12430012063.Z1_Axis.Actual_Position_MCS,-375.95,2019-11-27 10:00:18.033
5dde48e48e15b3086c0c6ca8,12430012063.Z1_Axis.Actual_Position_MCS,-366.31,2019-11-27 10:00:18.218
5dde48e48e15b3086c0c6cb5,12430012063.Z1_Axis.Actual_Position_MCS,-248.0,2019-11-27 10:00:18.413
5dde48e58e15b3086c0c6cbf,12430012063.Z1_Axis.Actual_Position_MCS,-114.67,2019-11-27 10:00:18.618
5dde48e58e15b3086c0c6cc9,12430012063.Z1_Axis.Actual_Position_MCS,-4.63,2019-11-27 10:00:18.923
5dde48e58e15b3086c0c6cd6,12430012063.Z1_Axis.Actual_Position_MCS,0.0,2019-11-27 10:00:19.102
5dde49068e15b3086c0c6d82,12430012063.Z1_Axis.Actual_Position_MCS,-0.01,2019-11-27 10:00:52.513
5dde49078e15b3086c0c6d8f,12430012063.Z1_Axis.Actual_Position_MCS,-3.72,2019-11-27 10:00:52.991
5dde49108e15b3086c0c6e19,12430012063.Z1_Axis.Actual_Position_MCS,-4.01,2019-11-27 10:01:01.727
5dde49108e15b3086c0c6e1f,12430012063.Z1_Axis.Actual_Position_MCS,-10.49,2019-11-27 10:01:01.939
5dde49108e15b3086c0c6e22,12430012063.Z1_Axis.Actual_Position_MCS,-17.16,2019-11-27 10:01:02.416
5dde49108e15b3086c0c6e29,12430012063.Z1_Axis.Actual_Position_MCS,-23.83,2019-11-27 10:01:02.457
5dde49108e15b3086c0c6e2d,12430012063.Z1_Axis.Actual_Position_MCS,-30.49,2019-11-27 10:01:02.507
