,12430012063.A1_Axis.Actual_Power,12430012063.C1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Y1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,Label
0,6.0,2.5,17.156438596491224,235.3732,182.66437499999998,0.5405405405405406,317.27272727272725,2.0,1.0,74.54,0.6900000000000001,2.5,1.0,24.899999999999995,2718.181818181818,-311.4340322580646,15.071428571428571,2019-11-27 09:17:36.174,,,,,,,,,,-
1,6.6,2.5,7.286500000000001,193.96850000000006,180.54257142857153,0.5135135135135135,317.3333333333333,1.6666666666666667,0.8,,1.3357142857142859,2.5,1.0,,66.72727272727273,-308.35,12.451612903225806,2019-11-27 09:17:49.078,21.6545,4351.5,362.03,7.0,,,,,,-
2,6.5,,8.11248076923077,373.14059999999995,187.56746478873234,0.4838709677419355,317.1764705882353,2.0,1.0,,0.9928571428571429,0.4444444444444444,0.7142857142857143,24.9,-76.27777777777777,-308.17426470588236,14.655172413793103,2019-11-27 09:18:03.043,-46.46733333333333,4466.5,378.21500000000003,13.5,0.049999999999999996,,,,,-
3,6.7,,7.190625000000001,168.41680000000002,182.13800000000003,0.5,317.5,1.5,1.0,74.53,0.05,0.52,0.8,,46.5,-308.317536231884,14.90625,2019-11-27 09:18:17.193,257.14966666666663,2011.6666666666667,396.41,0.6875,0.06666666666666668,,,,,-
4,7.0,2.5,10.607425531914895,-91.96284615384614,176.49014285714287,0.5,317.53333333333336,1.0,1.0,,0.05,0.47368421052631576,1.25,,212.8125,-308.30681159420294,13.666666666666666,2019-11-27 09:18:31.191,347.152,0.0,411.68,22.0,0.05263157894736842,27.0,,,,-
5,7.5,,6.90296,282.1602142857143,180.1270422535211,0.5,317.1666666666667,1.6666666666666667,0.5,,0.05,0.5,1.0,,-32.76470588235294,-306.9417142857143,13.84,2019-11-27 09:18:45.193,,3180.3333333333335,423.43,0.0,0.06666666666666667,26.996,,,,-
6,7.5,,2.982777777777778,369.59700000000004,187.59385714285705,0.5,317.5,1.0,0.75,74.52,0.05,0.5,1.25,,-180.88888888888889,-308.1344117647059,18.235294117647058,2019-11-27 09:18:59.386,-265.27,0.0,441.68,6.0,0.08000000000000003,,,,,-
7,7.2,,4.079787234042553,22.66799999999998,189.27285714285713,0.5,317.125,1.75,0.3333333333333333,,0.05,0.5,0.8333333333333334,24.935000000000002,80.94736842105263,-308.3165217391305,15.653846153846153,2019-11-27 09:19:13.397,200.306,3918.6666666666665,455.42333333333335,2.111111111111111,0.09600000000000003,,,,,-
8,7.5,,5.326333333333333,-3.330428571428586,174.2142857142857,0.5,317.2142857142857,0.0,1.0,74.51,0.1,0.5,1.25,24.938000000000002,67.70588235294117,-308.3152173913043,14.533333333333333,2019-11-27 09:19:27.500,119.7775,0.0,471.68,7.75,0.08750000000000002,26.963333333333328,,,,-
9,7.0,,5.75246,434.56391666666667,171.4981944444445,0.5142857142857142,317.4117647058824,2.0,0.8,,0.03333333333333333,0.5,3.5,24.935000000000002,-114.85714285714286,-308.3423188405797,14.28,2019-11-27 09:19:41.396,578.5865,-6960.5,380.52500000000003,2.238095238095238,0.09285714285714287,26.95,69.873,1494.6666666666667,-399.95666666666665,-
