Date,Time,Program,Workpiece no.,Testpoint,Plane,Probe no.,Cycle,S_MVAR,Measuring variant,Results,Setpoint,Measured,Difference,Unit
2019-11-20,12:14:13,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,15.0,14.976,-0.024,mm
2019-11-20,12:14:13,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,15.0,15.016,0.016,mm
2019-11-20,12:14:13,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:14:18,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,30.0,29.994,-0.006,mm
2019-11-20,12:14:18,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,15.0,14.986,-0.014,mm
2019-11-20,12:14:18,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.018,0.009,mm
2019-11-20,12:14:23,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,45.0,44.979,-0.021,mm
2019-11-20,12:14:23,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,15.0,14.997,-0.003,mm
2019-11-20,12:14:23,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.015,0.006,mm
2019-11-20,12:14:28,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,60.0,59.997,-0.003,mm
2019-11-20,12:14:28,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,15.0,15.003,0.003,mm
2019-11-20,12:14:28,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.015,0.006,mm
2019-11-20,12:14:33,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,75.0,74.969,-0.031,mm
2019-11-20,12:14:33,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,15.0,15.004,0.004,mm
2019-11-20,12:14:33,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.015,0.006,mm
