Messungen Bohrung 12H7;;;;;;;;
Bezeichnung:;;;;;;;;
0101;;;> Ebene 1 Bohrung 1;;;;;
0102;;;> Ebene 1 Bohrung 2;;;;;
0201;;;> Ebene 2 Bohrung 1;;;;;
;;;;;;;;
;;;;;;;;
Bezeichnung Bohrung;Ebene;Bohrung;Messwert Innenmessschraube;Messwert Messtaster;Klassifizierung nach Messchraube;Klassifizierung nach Messtaster;Klassifizierung nach Grenzlehrdorn;
0101;1;1;12,016;12,019;i.O.;n.i.O.;i.O.;
0102;1;2;12,016;12,018;i.O.;i.O.;i.O.;
0103;1;3;12,016;12,015;i.O.;i.O.;i.O.;
0104;1;4;12,016;12,015;i.O.;i.O.;i.O.;
0105;1;5;12,016;12,015;i.O.;i.O.;i.O.;
0106;1;6;12,016;12,016;i.O.;i.O.;i.O.;
0107;1;7;12,016;12,016;i.O.;i.O.;i.O.;
0108;1;8;12,016;12,017;i.O.;i.O.;i.O.;
0109;1;9;12,015;12,016;i.O.;i.O.;i.O.;
0110;1;10;12,015;12,019;i.O.;n.i.O.;i.O.;
0111;1;11;12,015;12,019;i.O.;n.i.O.;i.O.;
0112;1;12;12,015;12,019;i.O.;n.i.O.;i.O.;
0113;1;13;12,015;12,018;i.O.;i.O.;i.O.;
0114;1;14;12,014;12,019;i.O.;n.i.O.;i.O.;
0115;1;15;12,015;12,019;i.O.;n.i.O.;i.O.;
0116;1;16;12,014;12,017;i.O.;i.O.;i.O.;
0117;1;17;12,015;12,017;i.O.;i.O.;i.O.;
0118;1;18;12,015;12,021;i.O.;n.i.O.;i.O.;
0119;1;19;12,014;12,021;i.O.;n.i.O.;i.O.;
0120;1;20;12,014;12,021;i.O.;n.i.O.;i.O.;
0121;1;21;12,014;12,016;i.O.;i.O.;i.O.;
0122;1;22;12,014;12,017;i.O.;i.O.;i.O.;
0123;1;23;12,014;12,02;i.O.;n.i.O.;i.O.;
0124;1;24;12,014;12,017;i.O.;i.O.;i.O.;
0125;1;25;12,014;12,019;i.O.;n.i.O.;i.O.;
0126;1;26;12,014;12,019;i.O.;n.i.O.;i.O.;
0127;1;27;12,014;12,019;i.O.;n.i.O.;i.O.;
0128;1;28;12,014;12,019;i.O.;n.i.O.;i.O.;
0129;1;29;12,014;12,019;i.O.;n.i.O.;i.O.;
0130;1;30;12,014;12,018;i.O.;i.O.;i.O.;
0131;1;31;12,014;12,019;i.O.;n.i.O.;i.O.;
0132;1;32;12,014;12,016;i.O.;i.O.;i.O.;
0133;1;33;12,014;12,018;i.O.;i.O.;i.O.;
0134;1;34;12,013;12,02;i.O.;n.i.O.;i.O.;
0135;1;35;12,014;12,018;i.O.;i.O.;i.O.;
0136;1;36;12,014;12,019;i.O.;n.i.O.;i.O.;
0137;1;37;12,014;12,019;i.O.;n.i.O.;i.O.;
0138;1;38;12,014;12,017;i.O.;i.O.;i.O.;
0139;1;39;12,014;12,02;i.O.;n.i.O.;i.O.;
0140;1;40;12,014;12,016;i.O.;i.O.;i.O.;
0141;1;41;12,014;12,018;i.O.;i.O.;i.O.;
0142;1;42;12,015;12,019;i.O.;n.i.O.;i.O.;
0143;1;43;12,014;12,02;i.O.;n.i.O.;i.O.;
0144;1;44;12,015;12,018;i.O.;i.O.;i.O.;
0145;1;45;12,015;12,021;i.O.;n.i.O.;i.O.;
0146;1;46;12,014;12,021;i.O.;n.i.O.;i.O.;
0147;1;47;12,015;12,018;i.O.;i.O.;i.O.;
0148;1;48;12,015;12,019;i.O.;n.i.O.;i.O.;
0149;1;49;12,014;12,019;i.O.;n.i.O.;i.O.;
0150;1;50;12,014;12,015;i.O.;i.O.;i.O.;
0151;1;51;12,015;12,015;i.O.;i.O.;i.O.;
0152;1;52;12,015;12,017;i.O.;i.O.;i.O.;
0153;1;53;12,014;12,015;i.O.;i.O.;i.O.;
0154;1;54;12,015;12,018;i.O.;i.O.;i.O.;
0155;1;55;12,015;12,02;i.O.;n.i.O.;i.O.;
0156;1;56;12,015;12,019;i.O.;n.i.O.;i.O.;
0157;1;57;12,015;12,017;i.O.;i.O.;i.O.;
0158;1;58;12,015;12,018;i.O.;i.O.;i.O.;
0159;1;59;12,015;12,019;i.O.;n.i.O.;i.O.;
0160;1;60;12,015;12,02;i.O.;n.i.O.;i.O.;
0161;1;61;12,015;12,021;i.O.;n.i.O.;i.O.;
0162;1;62;12,015;12,018;i.O.;i.O.;i.O.;
0163;1;63;12,015;12,019;i.O.;n.i.O.;i.O.;
0164;1;64;12,015;12,019;i.O.;n.i.O.;i.O.;
0165;1;65;12,015;12,018;i.O.;i.O.;i.O.;
0166;1;66;12,015;12,02;i.O.;n.i.O.;i.O.;
0167;1;67;12,015;12,021;i.O.;n.i.O.;i.O.;
0168;1;68;12,015;12,019;i.O.;n.i.O.;i.O.;
0169;1;69;12,015;12,02;i.O.;n.i.O.;i.O.;
0170;1;70;12,014;12,02;i.O.;n.i.O.;i.O.;
0171;1;71;12,015;12,018;i.O.;i.O.;i.O.;
0172;1;72;12,016;12,019;i.O.;n.i.O.;i.O.;
0173;1;73;12,015;12,02;i.O.;n.i.O.;i.O.;
0174;1;74;12,015;12,018;i.O.;i.O.;i.O.;
0175;1;75;12,015;12,018;i.O.;i.O.;i.O.;
0176;1;76;12,016;12,018;i.O.;i.O.;i.O.;
0177;1;77;12,015;12,018;i.O.;i.O.;i.O.;
0178;1;78;12,015;12,017;i.O.;i.O.;i.O.;
0179;1;79;12,015;12,018;i.O.;i.O.;i.O.;
0180;1;80;12,016;12,018;i.O.;i.O.;i.O.;
0181;1;81;12,015;12,018;i.O.;i.O.;i.O.;
0201;2;1;12,013;12,019;i.O.;n.i.O.;i.O.;
0202;2;2;12,012;12,019;i.O.;n.i.O.;i.O.;
0203;2;3;12,014;12,019;i.O.;n.i.O.;i.O.;
0204;2;4;12,014;12,024;i.O.;n.i.O.;i.O.;
0205;2;5;12,014;12,018;i.O.;i.O.;i.O.;
0206;2;6;12,013;12,02;i.O.;n.i.O.;i.O.;
0207;2;7;12,014;12,02;i.O.;n.i.O.;i.O.;
0208;2;8;12,014;12,018;i.O.;i.O.;i.O.;
0209;2;9;12,013;12,017;i.O.;i.O.;i.O.;
0210;2;10;12,013;12,019;i.O.;n.i.O.;i.O.;
0211;2;11;12,013;12,017;i.O.;i.O.;i.O.;
0212;2;12;12,013;12,019;i.O.;n.i.O.;i.O.;
0213;2;13;12,013;12,018;i.O.;i.O.;i.O.;
0214;2;14;12,013;12,018;i.O.;i.O.;i.O.;
0215;2;15;12,013;12,021;i.O.;n.i.O.;i.O.;
0216;2;16;12,014;12,018;i.O.;i.O.;i.O.;
0217;2;17;12,013;12,018;i.O.;i.O.;i.O.;
0218;2;18;12,013;12,019;i.O.;n.i.O.;i.O.;
0219;2;19;12,014;12,02;i.O.;n.i.O.;i.O.;
0220;2;20;12,013;12,021;i.O.;n.i.O.;i.O.;
0221;2;21;12,014;12,018;i.O.;i.O.;i.O.;
0222;2;22;12,013;12,016;i.O.;i.O.;i.O.;
0223;2;23;12,013;12,017;i.O.;i.O.;i.O.;
0224;2;24;12,013;12,018;i.O.;i.O.;i.O.;
0225;2;25;12,013;12,018;i.O.;i.O.;i.O.;
0226;2;26;12,013;12,017;i.O.;i.O.;i.O.;
0227;2;27;12,013;12,019;i.O.;n.i.O.;i.O.;
0228;2;28;12,013;12,018;i.O.;i.O.;i.O.;
0229;2;29;12,013;12,02;i.O.;n.i.O.;i.O.;
0230;2;30;12,013;12,018;i.O.;i.O.;i.O.;
0231;2;31;12,013;12,019;i.O.;n.i.O.;i.O.;
0232;2;32;12,014;12,024;i.O.;n.i.O.;i.O.;
0233;2;33;12,014;12,019;i.O.;n.i.O.;i.O.;
0234;2;34;12,014;12,019;i.O.;n.i.O.;i.O.;
0235;2;35;12,014;12,02;i.O.;n.i.O.;i.O.;
0236;2;36;12,014;12,02;i.O.;n.i.O.;i.O.;
0237;2;37;12,013;12,016;i.O.;i.O.;i.O.;
0238;2;38;12,014;12,02;i.O.;n.i.O.;i.O.;
0239;2;39;12,014;12,019;i.O.;n.i.O.;i.O.;
0240;2;40;12,014;12,02;i.O.;n.i.O.;i.O.;
0241;2;41;12,014;12,018;i.O.;i.O.;i.O.;
0242;2;42;12,014;12,018;i.O.;i.O.;i.O.;
0243;2;43;12,013;12,018;i.O.;i.O.;i.O.;
0244;2;44;12,013;12,018;i.O.;i.O.;i.O.;
0245;2;45;12,015;12,019;i.O.;n.i.O.;i.O.;
0246;2;46;12,014;12,018;i.O.;i.O.;i.O.;
0247;2;47;12,014;12,02;i.O.;n.i.O.;i.O.;
0248;2;48;12,014;12,018;i.O.;i.O.;i.O.;
0249;2;49;12,014;12,019;i.O.;n.i.O.;i.O.;
0250;2;50;12,014;12,018;i.O.;i.O.;i.O.;
0251;2;51;12,015;12,018;i.O.;i.O.;i.O.;
0252;2;52;12,014;12,017;i.O.;i.O.;i.O.;
