12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Y1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,Label
6.0,9.293466666666667,5.216615384615385,13.801600000000002,0.0,0.6,0.8571428571428571,27.52,0.05,0.05,1.3333333333333333,0.21583333333333335,-69.86666666666666,351.65058823529415,3.2142857142857144,-51.92857142857143,-410.568125,2.235294117647059,26.745,529.0,-295.86,13.538461538461538,2019-11-26 13:07:26.190,IO
5.5,9.981437499999998,7.9633125,7.46016666666667,,0.5,1.0,,0.044444444444444446,0.05555555555555555,1.6666666666666667,0.11416666666666668,218.3125,366.34157894736836,3.4705882352941178,-11.8125,-410.535625,2.066666666666667,,0.0,-295.16499999999996,14.222222222222221,2019-11-26 13:07:30.992,IO
5.5,10.376277777777778,6.165153846153846,19.0238,,0.5,1.1666666666666667,27.513333333333332,0.05,0.042857142857142864,1.5,0.1790909090909091,33.5,380.8929999999999,3.8823529411764706,-52.714285714285715,-410.5435294117647,2.0555555555555554,,4.833333333333333,-295.285,12.7,2019-11-26 13:07:35.830,IO
5.5,9.235176470588234,6.576133333333333,23.93516666666667,,0.5,0.8571428571428571,27.526666666666667,0.05,0.05000000000000001,1.5,0.12363636363636364,219.5625,396.37315789473683,2.764705882352941,-29.714285714285715,-410.5293333333333,3.0,,434.25,-295.22999999999996,14.3,2019-11-26 13:07:40.824,IO
5.5,10.150611111111111,6.165153846153846,11.190399999999999,,0.5,0.5,27.519999999999996,0.05,0.05333333333333333,1.5,0.15333333333333335,24.88235294117647,410.968,2.411764705882353,0.6428571428571429,-410.54,2.5,26.745,121.0,-295.03499999999997,14.0,2019-11-26 13:07:45.625,IO
,7.359187500000001,6.8073125,18.65066666666667,,0.5,1.125,27.513333333333332,0.05000000000000001,0.05,,0.1691666666666667,271.1333333333333,426.41555555555556,2.8947368421052633,-53.642857142857146,-410.5306666666666,2.2941176470588234,26.745,0.0,-296.068,13.090909090909092,2019-11-26 13:07:50.628,IO
,6.9475999999999996,9.16876923076923,9.636166666666668,,0.5,0.875,,0.05384615384615384,0.04,0.0,0.179,67.5,441.0631578947368,3.0,17.2,-410.5425000000001,2.0,26.745,-492.0,-296.39,13.8,2019-11-26 13:07:55.444,IO
,11.504055555555555,7.1136923076923075,23.126800000000003,,0.42857142857142855,1.1428571428571428,,0.05,0.05,0.5,0.145,163.11764705882354,455.92449999999997,2.5789473684210527,-8.375,-410.555625,1.7894736842105263,26.745,4.833333333333333,-296.198,13.083333333333334,2019-11-26 13:08:00.256,IO
,9.075999999999999,6.439133333333333,-4.351999999999999,,0.5555555555555556,1.4,,0.05000000000000001,,0.5,0.17099999999999996,150.25,471.33277777777766,2.6315789473684212,-9.375,-410.54999999999995,2.1666666666666665,26.745,0.0,-295.2775,13.909090909090908,2019-11-26 13:08:05.248,IO
5.5,18.511322580645167,5.522937499999999,13.988000000000003,,0.5,1.25,,0.05,,0.5714285714285714,0.1457894736842105,-221.4375,381.9928571428572,2.823529411764706,9.1875,-399.31657142857136,2.0625,26.744999999999997,-383.6,-295.05249999999995,14.583333333333334,2019-11-26 13:08:10.068,IO
5.5,7.563235294117646,7.7459999999999996,27.043500000000005,,0.5,0.8888888888888888,,0.05,0.05,0.4,0.10363636363636365,327.875,365.81550000000004,4.125,-4.8125,-395.54062500000003,2.066666666666667,26.745,-79.83333333333333,-296.38199999999995,13.75,2019-11-26 13:08:18.094,IO
,10.105533333333332,8.07342857142857,10.56866666666667,,0.5,1.4,,0.05,,0.5555555555555556,0.1414285714285714,65.0625,381.0647368421053,2.7058823529411766,6.666666666666667,-395.535625,2.066666666666667,26.745,-436.0,-294.86,14.272727272727273,2019-11-26 13:08:23.078,IO
5.5,7.244764705882353,6.678999999999999,41.4046,,0.5,1.0,,0.042857142857142864,0.05000000000000001,0.4,0.13583333333333336,156.94117647058823,395.8665,2.7,-22.75,-395.54499999999996,2.0,26.745,-319.1666666666667,-296.306,12.916666666666666,2019-11-26 13:08:27.883,IO
,9.155529411764704,5.651375,13.0555,,0.5,0.5,,0.05,,0.5,0.19545454545454544,217.25,411.2521052631579,3.411764705882353,-48.46666666666667,-395.54999999999995,2.2941176470588234,26.745,352.2,-295.784,14.454545454545455,2019-11-26 13:08:32.921,IO
5.5,10.82736842105263,7.779928571428571,14.547600000000003,,0.5,0.8888888888888888,,0.05714285714285715,,0.5,0.09384615384615386,28.529411764705884,425.93500000000006,3.9411764705882355,13.875,-395.56588235294123,2.2777777777777777,26.745,43.5,-295.095,13.5,2019-11-26 13:08:37.699,IO
5.5,9.473999999999998,7.124266666666668,24.86766666666667,,0.5,1.1428571428571428,,0.05,,0.5,0.16727272727272727,227.125,441.37111111111113,3.142857142857143,32.6875,-395.5464705882353,2.3333333333333335,26.745,383.25,-296.16399999999993,13.875,2019-11-26 13:08:42.703,IO
,13.459,7.261266666666666,14.5476,,0.5,1.0,,0.05,0.05,0.5,0.16363636363636364,9.0,455.9674999999999,3.75,-8.125,-395.5564705882353,2.5,26.748,0.0,-295.175,13.909090909090908,2019-11-26 13:08:47.522,IO
,7.6130625,5.206133333333333,20.826666666666668,,0.4444444444444444,1.0,27.485,0.05,,0.5,0.13545454545454547,199.0,471.3378947368421,3.466666666666667,-8.5625,-395.55470588235295,2.388888888888889,26.745,383.25,-296.172,14.181818181818182,2019-11-26 13:08:52.529,IO
5.5,15.088148148148147,9.066470588235292,-5.5952,,0.6,1.25,27.48,,,0.5454545454545454,0.17421052631578948,-201.06666666666666,381.73228571428587,3.25,-15.3125,-384.27885714285725,2.1176470588235294,26.744999999999997,-211.6,-295.34000000000003,14.583333333333334,2019-11-26 13:08:57.330,IO
5.5,6.2595624999999995,11.596428571428572,23.3135,,0.5,1.0,27.485,0.05,,0.4,0.1425,323.6875,365.8405000000001,3.588235294117647,-15.117647058823529,-380.53941176470596,1.875,26.745,-79.83333333333333,-296.08,13.909090909090908,2019-11-26 13:09:05.343,IO
5.5,5.174823529411765,5.343133333333332,-5.284499999999999,,0.5,1.0,,0.15000000000000002,,0.6666666666666666,0.18636363636363634,195.5,381.1542105263158,3.0,-38.4375,-380.53352941176456,2.235294117647059,26.745,-159.25,-295.13,14.0,2019-11-26 13:09:10.337,IO
5.5,12.5190625,8.660714285714286,13.055400000000002,,0.5,0.6,,0.15000000000000002,0.05,0.5,0.15,131.8421052631579,395.8725,3.25,-3.125,-380.53823529411767,2.5625,26.745,-175.33333333333334,-294.84,13.909090909090908,2019-11-26 13:09:15.149,IO
5.5,8.842333333333332,6.605500000000001,-7.8334,,0.5,0.5,,0.05,,0.5,0.188,243.25,411.2788888888888,2.8823529411764706,33.4,-380.52625000000006,2.5,,492.5,-296.124,14.8,2019-11-26 13:09:20.157,IO
,10.031235294117646,4.742384615384615,10.071400000000002,,0.5,1.125,27.455,0.2,,0.4444444444444444,0.12666666666666668,-10.0625,425.8157894736841,2.888888888888889,23.933333333333334,-380.5211764705882,2.4285714285714284,26.745,23.2,-296.84666666666664,13.363636363636363,2019-11-26 13:09:25.011,IO
,10.37622222222222,5.266062499999999,11.190333333333333,,0.5,1.1428571428571428,27.455,0.05714285714285715,,0.5,0.11769230769230771,334.6666666666667,440.7105,3.4375,15.8125,-380.5570588235293,1.9285714285714286,,254.2,-296.284,14.363636363636363,2019-11-26 13:09:29.831,IO
,8.045333333333332,9.834928571428572,10.817399999999997,,0.5,1.1,27.451999999999998,0.05,,0.5,0.1872727272727273,54.6875,455.87368421052633,2.9444444444444446,32.285714285714285,-380.5429411764706,1.7222222222222223,,0.0,-296.57,14.916666666666666,2019-11-26 13:09:34.769,IO
,6.936249999999999,9.643,41.4046,,0.5,1.2857142857142858,27.458,0.15000000000000002,,0.5714285714285714,0.13499999999999998,238.8235294117647,470.81899999999996,2.588235294117647,-15.533333333333333,-380.560625,2.1875,,-2.5,-296.252,12.909090909090908,2019-11-26 13:09:39.570,IO
5.5,19.209806451612913,4.2385,17.407333333333337,,0.5,1.25,27.44,0.08,0.05,0.4444444444444444,0.1455,9.5625,381.30314285714286,3.0,15.5625,-369.21514285714295,2.6956521739130435,,0.0,-296.322,14.727272727272727,2019-11-26 13:09:44.575,IO
5.5,8.481533333333335,4.990785714285714,13.988,,0.5,1.1111111111111112,,0.05,,0.5,0.15727272727272726,-6.25,365.7736842105263,2.823529411764706,42.86666666666667,-365.5266666666667,2.2,,-326.0,-296.74666666666667,12.636363636363637,2019-11-26 13:09:52.592,IO
5.5,13.280437499999998,4.110071428571429,-13.801599999999997,,0.5,1.3333333333333333,,0.05,,0.5,0.12666666666666668,325.0,380.6739999999999,2.6666666666666665,-6.75,-365.52736842105264,2.5294117647058822,,394.0,-296.28200000000004,14.333333333333334,2019-11-26 13:09:57.403,IO
5.5,9.872117647058824,5.284428571428571,8.952400000000003,,0.4,0.875,,0.05,,0.5,0.12333333333333335,-24.533333333333335,395.82421052631577,2.75,7.133333333333334,-365.5177777777778,2.2,,52.2,-296.7933333333333,13.272727272727273,2019-11-26 13:10:02.411,IO
5.5,11.384647058823525,4.110066666666667,13.988166666666672,,0.6,0.4444444444444444,,0.05,,0.5714285714285714,0.16999999999999998,327.05882352941177,410.67,3.4210526315789473,7.470588235294118,-365.54777777777775,1.8333333333333333,26.745,190.4,-296.168,14.166666666666666,2019-11-26 13:10:07.213,IO
,7.642823529411764,7.271692307692307,13.055600000000002,,0.5,1.0,,0.05,,0.4,0.12909090909090912,18.875,425.901052631579,2.4444444444444446,-26.125,-365.5482352941176,1.9444444444444444,26.745,207.6,-295.12749999999994,14.090909090909092,2019-11-26 13:10:12.219,IO
,7.744611111111112,5.849,16.163833333333333,180.0,0.5,1.0909090909090908,,,,0.5555555555555556,0.1730769230769231,367.5625,440.7795000000001,3.5294117647058822,-14.6875,-365.538125,2.05,26.745,5.6,-295.972,13.166666666666666,2019-11-26 13:10:17.019,IO
,6.289470588235294,6.311928571428571,13.366333333333335,,0.5,0.9,,0.11666666666666668,0.05,0.5,0.16416666666666668,175.5,456.04000000000013,3.3529411764705883,18.428571428571427,-365.52812500000005,2.7058823529411766,26.745,-399.6,-295.98999999999995,14.090909090909092,2019-11-26 13:10:22.030,IO
,5.752125000000001,8.954357142857143,13.4284,,0.5,1.3333333333333333,,0.10000000000000002,,0.5,0.134,23.22222222222222,470.841,4.0,46.9375,-365.54,2.2,26.745,-225.66666666666666,-295.1075,13.5,2019-11-26 13:10:26.833,IO
5.5,18.512857142857143,5.822666666666667,31.395500000000002,,0.5,1.25,27.422000000000004,0.0,,0.5,0.22263157894736843,-180.73333333333332,380.9005714285714,3.125,18.9375,-354.3017647058824,1.75,,434.25,-296.27799999999996,14.090909090909092,2019-11-26 13:10:31.841,IO
5.5,9.727625,8.367071428571428,28.908666666666672,,0.5,1.1666666666666667,27.427142857142858,0.06000000000000001,,0.4444444444444444,0.2575,87.82352941176471,365.8621052631579,3.0,-30.285714285714285,-350.54312500000003,2.0476190476190474,,0.0,-295.76599999999996,14.923076923076923,2019-11-26 13:10:39.849,IO
5.5,5.413666666666667,4.110071428571429,14.920750000000005,,0.5,1.3,27.42,0.05,,0.5,0.15363636363636363,-17.9375,380.72578947368424,2.5,57.0,-350.49799999999993,2.5625,,-11.2,-296.49,13.8,2019-11-26 13:10:44.650,IO
5.5,5.970941176470588,6.165153846153847,16.16383333333334,,0.5,1.3333333333333333,,0.05000000000000001,,0.5,0.08454545454545453,367.1875,395.8234999999999,3.0555555555555554,-14.647058823529411,-350.500625,2.8461538461538463,26.745,0.0,-296.01800000000003,14.0,2019-11-26 13:10:49.482,IO
