,Bezeichnung Bohrung,Klassifizierung nach Grenzlehrdorn,Klassifizierung nach Messchraube,Klassifizierung nach Messtaster,Messwert Innenmessschraube,Messwert Messtaster,Unnamed: 0,Unnamed: 6
0,,i.O.,i.O.,n.i.O.,12.015999999999998,12.019,0.0,
1,,i.O.,i.O.,i.O.,12.015999999999998,12.017999999999999,1.0,
2,,i.O.,i.O.,i.O.,12.015999999999998,12.015,2.0,
3,,i.O.,i.O.,i.O.,12.015999999999998,12.015,3.0,
4,,i.O.,i.O.,i.O.,12.015999999999998,12.015,4.0,
5,,i.O.,i.O.,i.O.,12.015999999999998,12.015999999999998,5.0,
6,,i.O.,i.O.,i.O.,12.015999999999998,12.015999999999998,6.0,
7,,i.O.,i.O.,i.O.,12.015999999999998,12.017000000000001,7.0,
8,,i.O.,i.O.,i.O.,12.015,12.015999999999998,8.0,
9,,i.O.,i.O.,n.i.O.,12.015,12.019,9.0,
10,,i.O.,i.O.,n.i.O.,12.015,12.019,10.0,
11,,i.O.,i.O.,n.i.O.,12.015,12.019,11.0,
12,,i.O.,i.O.,i.O.,12.015,12.017999999999999,12.0,
13,,i.O.,i.O.,n.i.O.,12.014000000000001,12.019,13.0,
14,,i.O.,i.O.,n.i.O.,12.015,12.019,14.0,
15,,i.O.,i.O.,i.O.,12.014000000000001,12.017000000000001,15.0,
16,,i.O.,i.O.,i.O.,12.015,12.017000000000001,16.0,
17,,i.O.,i.O.,n.i.O.,12.015,12.020999999999999,17.0,
18,,i.O.,i.O.,n.i.O.,12.014000000000001,12.020999999999999,18.0,
19,,i.O.,i.O.,n.i.O.,12.014000000000001,12.020999999999999,19.0,
20,,i.O.,i.O.,i.O.,12.014000000000001,12.015999999999998,20.0,
21,,i.O.,i.O.,i.O.,12.014000000000001,12.017000000000001,21.0,
22,,i.O.,i.O.,n.i.O.,12.014000000000001,12.02,22.0,
23,,i.O.,i.O.,i.O.,12.014000000000001,12.017000000000001,23.0,
24,,i.O.,i.O.,n.i.O.,12.014000000000001,12.019,24.0,
25,,i.O.,i.O.,n.i.O.,12.014000000000001,12.019,25.0,
26,,i.O.,i.O.,n.i.O.,12.014000000000001,12.019,26.0,
27,,i.O.,i.O.,n.i.O.,12.014000000000001,12.019,27.0,
28,,i.O.,i.O.,n.i.O.,12.014000000000001,12.019,28.0,
29,,i.O.,i.O.,i.O.,12.014000000000001,12.017999999999999,29.0,
30,,i.O.,i.O.,n.i.O.,12.014000000000001,12.019,30.0,
31,,i.O.,i.O.,i.O.,12.014000000000001,12.015999999999998,31.0,
32,,i.O.,i.O.,i.O.,12.014000000000001,12.017999999999999,32.0,
33,,i.O.,i.O.,n.i.O.,12.013,12.02,33.0,
34,,i.O.,i.O.,i.O.,12.014000000000001,12.017999999999999,34.0,
35,,i.O.,i.O.,n.i.O.,12.014000000000001,12.019,35.0,
36,,i.O.,i.O.,n.i.O.,12.014000000000001,12.019,36.0,
37,,i.O.,i.O.,i.O.,12.014000000000001,12.017000000000001,37.0,
38,,i.O.,i.O.,n.i.O.,12.014000000000001,12.02,38.0,
39,,i.O.,i.O.,i.O.,12.014000000000001,12.015999999999998,39.0,
40,,i.O.,i.O.,i.O.,12.014000000000001,12.017999999999999,40.0,
41,,i.O.,i.O.,n.i.O.,12.015,12.019,41.0,
42,,i.O.,i.O.,n.i.O.,12.014000000000001,12.02,42.0,
43,,i.O.,i.O.,i.O.,12.015,12.017999999999999,43.0,
44,,i.O.,i.O.,n.i.O.,12.015,12.020999999999999,44.0,
45,,i.O.,i.O.,n.i.O.,12.014000000000001,12.020999999999999,45.0,
46,,i.O.,i.O.,i.O.,12.015,12.017999999999999,46.0,
47,,i.O.,i.O.,n.i.O.,12.015,12.019,47.0,
48,,i.O.,i.O.,n.i.O.,12.014000000000001,12.019,48.0,
49,,i.O.,i.O.,i.O.,12.014000000000001,12.015,49.0,
50,,i.O.,i.O.,i.O.,12.015,12.015,50.0,
51,,i.O.,i.O.,i.O.,12.015,12.017000000000001,51.0,
52,,i.O.,i.O.,i.O.,12.014000000000001,12.015,52.0,
53,,i.O.,i.O.,i.O.,12.015,12.017999999999999,53.0,
54,,i.O.,i.O.,n.i.O.,12.015,12.02,54.0,
55,,i.O.,i.O.,n.i.O.,12.015,12.019,55.0,
56,,i.O.,i.O.,i.O.,12.015,12.017000000000001,56.0,
57,,i.O.,i.O.,i.O.,12.015,12.017999999999999,57.0,
58,,i.O.,i.O.,n.i.O.,12.015,12.019,58.0,
59,,i.O.,i.O.,n.i.O.,12.015,12.02,59.0,
60,,i.O.,i.O.,n.i.O.,12.015,12.020999999999999,60.0,
61,,i.O.,i.O.,i.O.,12.015,12.017999999999999,61.0,
62,,i.O.,i.O.,n.i.O.,12.015,12.019,62.0,
63,,i.O.,i.O.,n.i.O.,12.015,12.019,63.0,
64,,i.O.,i.O.,i.O.,12.015,12.017999999999999,64.0,
65,,i.O.,i.O.,n.i.O.,12.015,12.02,65.0,
66,,i.O.,i.O.,n.i.O.,12.015,12.020999999999999,66.0,
67,,i.O.,i.O.,n.i.O.,12.015,12.019,67.0,
68,,i.O.,i.O.,n.i.O.,12.015,12.02,68.0,
69,,i.O.,i.O.,n.i.O.,12.014000000000001,12.02,69.0,
70,,i.O.,i.O.,i.O.,12.015,12.017999999999999,70.0,
71,,i.O.,i.O.,n.i.O.,12.015999999999998,12.019,71.0,
72,,i.O.,i.O.,n.i.O.,12.015,12.02,72.0,
73,,i.O.,i.O.,i.O.,12.015,12.017999999999999,73.0,
74,,i.O.,i.O.,i.O.,12.015,12.017999999999999,74.0,
75,,i.O.,i.O.,i.O.,12.015999999999998,12.017999999999999,75.0,
76,,i.O.,i.O.,i.O.,12.015,12.017999999999999,76.0,
77,,i.O.,i.O.,i.O.,12.015,12.017000000000001,77.0,
78,,i.O.,i.O.,i.O.,12.015,12.017999999999999,78.0,
79,,i.O.,i.O.,i.O.,12.015999999999998,12.017999999999999,79.0,
80,,i.O.,i.O.,n.i.O.,12.012,12.020999999999999,405.0,
81,,i.O.,i.O.,n.i.O.,12.013,12.022,406.0,
82,,i.O.,i.O.,n.i.O.,12.013,12.02,407.0,
83,,i.O.,i.O.,i.O.,12.011,12.017000000000001,408.0,
84,,i.O.,i.O.,n.i.O.,12.013,12.020999999999999,409.0,
85,,i.O.,i.O.,n.i.O.,12.012,12.019,410.0,
86,,i.O.,i.O.,n.i.O.,12.012,12.022,411.0,
87,,i.O.,i.O.,i.O.,12.012,12.017999999999999,412.0,
88,,i.O.,i.O.,n.i.O.,12.014000000000001,12.023,413.0,
89,,i.O.,i.O.,n.i.O.,12.012,12.022,414.0,
90,,i.O.,i.O.,n.i.O.,12.012,12.022,415.0,
91,,i.O.,i.O.,n.i.O.,12.013,12.022,416.0,
92,,i.O.,i.O.,i.O.,12.013,12.017000000000001,417.0,
93,,i.O.,i.O.,i.O.,12.011,12.017999999999999,418.0,
94,,i.O.,i.O.,n.i.O.,12.011,12.020999999999999,419.0,
95,,i.O.,i.O.,n.i.O.,12.012,12.020999999999999,420.0,
96,,i.O.,i.O.,n.i.O.,12.012,12.020999999999999,421.0,
97,,i.O.,i.O.,i.O.,12.012,12.017999999999999,422.0,
98,,i.O.,i.O.,n.i.O.,12.012,12.019,423.0,
99,,i.O.,i.O.,n.i.O.,12.012,12.022,424.0,
